"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1087070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"1","a",,"av"
"2","aa",,"ik"
"3","aabenraa",,"gemopeu"
"4","aaberg",,"ukotat"
"5","aabevm",,"ukotan"
"6","aabfs",,"akike"
"7","aabga",,"gumen"
"8","aabiyaba",,"ikenaro"
"9","aabncp",,"gemaun"
"10","aabomycin",,"ikepiman"
"11","aabp",,"akif"
"12","aabpdf",,"ekufu"
"13","aabrey",,"akija"
"14","aabria",,"akijen"
"15","aabshil",,"gemana"
"16","aabt",,"ikeq"
"17","aabw",,"gami"
"18","aaby",,"gumu"
"19","aachen",,"akumen"
"20","aachener",,"ginevuo"
"21","aachenosaurus",,"ganivejio"
"22","aachens",,"akumion"
"23","aachin",,"ekamot"
"24","aaching",,"okemiu"
"25","aachs",,"gonaq"
"26","aacubo",,"ginuu"
"27","aacv",,"gano"
"28","aacwii",,"ekadin"
"29","aadaopa",,"ikimaa"
"30","aadhya",,"ekeme"
"31","aaedon",,"ekose"
"32","aaedons",,"ekosiin"
"33","aaees",,"ekoto"
"34","aaem",,"akev"
"35","aaerially",,"gesuraen"
"36","aaerialness",,"gosarepaa"
"37","aaerialnesss",,"gosarepaen"
"38","aaerope",,"akejoet"
"39","aaeropes",,"akejoji"
"40","aafprs",,"gageet"
"41","aagaard",,"ekimain"
"42","aagaards",,"ekimaqa"
"43","aagard",,"akomen"
"44","aagards",,"akomaon"
"45","aagate",,"gokuet"
"46","aagenaes",,"gukapie"
"47","aagleckl",,"uketota"
"48","aah",,"gol"
"49","aahing",,"okane"
"50","aahings",,"okaniin"
"51","aahs",,"gole"
"52","aajacob",,"ekemoin"
"53","aajs",,"gena"
"54","aaker",,"garec"
"55","aakers",,"gareo"
"56","aakirahuttaa",,"ukanurekat"
"57","aakmal",,"girea"
"58","aakoos",,"ekopot"
"59","aakp",,"gori"
"60","aakuang",,"guranu"
"61","aal",,"gas"
"62","aaland",,"gisain"
"63","aalberts",,"ekinuqa"
"64","aalborg",,"gusofu"
"65","aald",,"ekis"
"66","aale",,"gusa"
"67","aalen",,"ikatu"
"68","aalenian",,"gasepean"
"69","aalesund",,"gaseqion"
"70","aalge",,"gasov"
"71","aalii",,"gasur"
"72","aaliis",,"gasuon"
"73","aaliyah",,"akonoan"
"74","aaliyahs",,"akonorun"
"75","aals",,"gasu"
"76","aalsabac",,"ukecise"
"77","aalsmeer",,"ikacizet"
"78","aalst",,"ekici"
"79","aalten",,"gesee"
"80","aaltje",,"gisiot"
"81","aalto",,"ikaqa"
"82","aaltos",,"ikaqo"
"83","aama",,"okam"
"84","aamc",,"ekur"
"85","aamcfayd",,"akiriri"
"86","aamchoor",,"ekurehet"
"87","aamchur",,"ekurea"
"88","aamft",,"okaku"
"89","aamga",,"ikelo"
"90","aamissep",,"gatuqean"
"91","aamodt",,"okapi"
"92","aamodts",,"okapuat"
"93","aamof",,"gitil"
"94","aamoth",,"ikepen"
"95","aamoths",,"ikepaon"
"96","aamrl",,"akiju"
"97","aanchal",,"guvine"
"98","aanchals",,"guviniin"
"99","aandahl",,"akusui"
"100","aandahls",,"akusurat"
"101","aandblom",,"ukisuzot"
"102","aanes",,"givuq"
"103","aanhpi",,"gevuot"
"104","aanhpis",,"gevuho"
"105","aani",,"guvi"
"106","aaniiih",,"ekanoon"
"107","aaniinen",,"givorui"
"108","aaninin",,"guvipot"
"109","aanis",,"guviq"
"110","aanishnaabe",,"akuneritot"
"111","aans",,"guvia"
"112","aant",,"akuq"
"113","aanugandufinolhu",,"gavemuhua"
"114","aanuganduhuraa",,"givumohoo"
"115","aanya",,"govon"
"116","aaodt",,"ukuse"
"117","aaos",,"akac"
"118","aaosa",,"ekeca"
"119","aaou",,"ukuw"
"120","aapa",,"gupe"
"121","aapaa",,"gapon"
"122","aapangan",,"gepipao"
"123","aapas",,"gupeq"
"124","aapc",,"gipo"
"125","aapi",,"gipoa"
"126","aapis",,"gipoq"
"127","aapl",,"ikut"
"128","aaps",,"gipoe"
"129","aapss",,"gipoqa"
"130","aaptamine",,"gipinii"
"131","aaptamines",,"gipiniat"
"132","aaqbiye",,"guforat"
"133","aaqbiyes",,"guforee"
"134","aaqs",,"ukec"
"135","aara",,"giha"
"136","aarah",,"akima"
"137","aarahaa",,"okamoan"
"138","aarai",,"gihar"
"139","aaralyn",,"gehivin"
"140","aarau",,"gohub"
"141","aarav",,"ikemo"
"142","aarburg",,"gihebo"
"143","aarc",,"gohe"
"144","aardvark",,"okaserun"
"145","aardvarking",,"guhudiwui"
"146","aardvarklike",,"gohodewoet"
"147","aardvarks",,"okaseru"
"148","aardwolf",,"ikesihi"
"149","aardwolfs",,"ikesihat"
"150","aardwolves",,"ukosuho"
"151","aare",,"geho"
"152","aaren",,"akite"
"153","aarenau",,"akiteet"
"154","aarf",,"akik"
"155","aargau",,"gihaot"
"156","aargh",,"akila"
"157","aarhus",,"ikemoa"
"158","aari",,"gohea"
"159","aarika",,"gohei"
"160","aarne",,"akizi"
"161","aaro",,"guhu"
"162","aarogramme",,"ikepoqe"
"163","aaron",,"ikepu"
"164","aaronic",,"ikepuet"
"165","aaronical",,"gehepoet"
"166","aaronid",,"gehepot"
"167","aaronids",,"gehepoo"
"168","aaronite",,"gahapean"
"169","aaronites",,"gahapeun"
"170","aaronitic",,"gehepoon"
"171","aaronitics",,"gehepoan"
"172","aaronovitch",,"gohopukaet"
"173","aaronovitches",,"gehepikuin"
"174","aarons",,"ikepo"
"175","aaronsbeard",,"gohopitoin"
"176","aaronsburg",,"ukopawon"
"177","aaronsburgs",,"ukopawekan"
"178","aaronson",,"gehepoen"
"179","aaronsons",,"gehepoona"
"180","aaroo",,"gehef"
"181","aarps",,"akife"
"182","aarrgh",,"guhoe"
"183","aarrghh",,"ekujaet"
"184","aars",,"gohee"
"185","aarschot",,"guhisuin"
"186","aarses",,"gehaun"
"187","aarskog",,"guhitin"
"188","aarss",,"goheq"
"189","aarthi",,"gohoan"
"190","aarthis",,"gohonun"
"191","aarti",,"ikequ"
"192","aartis",,"ikeqo"
"193","aaru",,"gehoa"
"194","aarus",,"gehoq"
"195","aarush",,"ikewo"
"196","aaruul",,"akiwet"
"197","aaryanna",,"gehenoot"
"198","aas",,"iko"
"199","aasect",,"gajeot"
"200","aases",,"oketi"
"201","aash",,"goja"
"202","aashaadha",,"gajinuan"
"203","aasia",,"ukini"
"204","aasif",,"gijol"
"205","aaslt",,"ekati"
"206","aasm",,"ekav"
"207","aasvoel",,"ekabiot"
"208","aasvoels",,"ekabizo"
"209","aatech",,"okoton"
"210","aatechs",,"okotian"
"211","aatheist",,"gacivean"
"212","aatheists",,"gaciveun"
"213","aatma",,"gacin"
"214","aatman",,"ukuvun"
"215","aatmans",,"ukuviu"
"216","aatmas",,"gacio"
"217","aatmwol",,"ukuvuin"
"218","aatxe",,"ukugo"
"219","aatxegorri",,"ikigene"
"220","aavakaaya",,"gawotuon"
"221","aavakaya",,"guwetiun"
"222","aavan",,"akome"
"223","aavasaks",,"gewiqaot"
"224","aavna",,"akozu"
"225","aavso",,"gowef"
"226","aavtech",,"guwuvat"
"227","aavtechs",,"guwuvae"
"228","aayda",,"gugun"
"229","aayden",,"ekesun"
"230","aazpa",,"okife"
"231","aazq",,"guke"
"232","ab",,"go"
"233","abaa",,"gula"
"234","abaabb",,"galeet"
"235","abaas",,"gulaq"
"236","abaat",,"uleme"
"237","ababa",,"alonu"
"238","ababai",,"alono"
"239","ababan",,"goluat"
"240","ababas",,"alona"
"241","ababda",,"guleun"
"242","ababdas",,"guletu"
"243","ababdeh",,"ilanaot"
"244","ababdehs",,"ilanazo"
"245","ababil",,"golue"
"246","ababua",,"uleni"
"247","ababuas",,"ulenoat"
"248","ababwa",,"ilanu"
"249","abac",,"gile"
"250","abaca",,"gulon"
"251","abacas",,"guloe"
"252","abacate",,"ilaroin"
"253","abacates",,"ilaroba"
"254","abacavir",,"gilenean"
"255","abacaxi",,"olurei"
"256","abacaxis",,"olurelat"
"257","abacay",,"geluin"
"258","abacha",,"aloro"
"259","abaci",,"giler"
"260","abacillary",,"ulerazen"
"261","abacinate",,"galirau"
"262","abacinated",,"alorefat"
"263","abacinates",,"galiraot"
"264","abacinating",,"alorefego"
"265","abacination",,"elirofogun"
"266","abacinations",,"elirofogu"
"267","abacisci",,"gileriat"
"268","abaciscus",,"golaroa"
"269","abaciscuses",,"gelurevaun"
"270","abaciscuss",,"golaroen"
"271","abacist",,"ilaruo"
"272","abacists",,"ilaruwet"
"273","aback",,"golat"
"274","abacker",,"olurai"
"275","abackest",,"eliruzot"
"276","abacks",,"golaun"
"277","abackstays",,"aloriwun"
"278","abackward",,"gelutaon"
"279","abackwards",,"gelutaan"
"280","abacli",,"oluri"
"281","abacmectin",,"golazuen"
"282","abaco",,"galif"
"283","abacomancy",,"ulerepa"
"284","abacos",,"galii"
"285","abacost",,"aloroet"
"286","abacosts",,"alorowi"
"287","abacot",,"aloroa"
"288","abacs",,"gileq"
"289","abacter",,"golawun"
"290","abacteraemic",,"galiwowao"
"291","abacteremic",,"gulowewii"
"292","abacterial",,"oluruzin"
"293","abacterially",,"golawuwuan"
"294","abacters",,"golawuu"
"295","abactinal",,"alorosun"
"296","abactinally",,"galiwahaet"
"297","abaction",,"golawoa"
"298","abactor",,"galiwat"
"299","abactors",,"galiwee"
"300","abaculi",,"eliruot"
"301","abaculus",,"alorizi"
"302","abaculuss",,"alorizat"
"303","abacus",,"golaat"
"304","abacuses",,"gelubeen"
"305","abad",,"ilas"
"306","abada",,"ulesi"
"307","abadabdo",,"elisasu"
"308","abadal",,"goleat"
"309","abadan",,"gelaot"
"310","abadas",,"ulesia"
"311","abadavine",,"ulesigin"
"312","abadavines",,"ulesiga"
"313","abaddan",,"elisie"
"314","abaddans",,"elisirin"
"315","abaddon",,"olusui"
"316","abaddons",,"olusuhat"
"317","abade",,"olusa"
"318","abadeh",,"goleata"
"319","abadejo",,"gilovon"
"320","abadengo",,"golevoot"
"321","abadi",,"ilasu"
"322","abadia",,"ulesan"
"323","abadie",,"oluset"
"324","abadies",,"olusii"
"325","abadis",,"ilasot"
"326","abadite",,"gelaro"
"327","abadites",,"gelaroet"
"328","abadon",,"goleun"
"329","abadons",,"golefu"
"330","abads",,"ilasua"
"331","abaecin",,"aloteet"
"332","abaecins",,"alotesi"
"333","abaetetuba",,"elitiza"
"334","abaff",,"gelel"
"335","abaffe",,"galaat"
"336","abaft",,"guluw"
"337","abafter",,"ulekee"
"338","abaftest",,"ilakazet"
"339","abafungin",,"alokifot"
"340","abaga",,"galen"
"341","abagael",,"ilaloo"
"342","abagail",,"uleliin"
"343","abagovomab",,"gelofue"
"344","abagtha",,"galewe"
"345","abagthas",,"galewuin"
"346","abagun",,"elilin"
"347","abaguns",,"elilua"
"348","abaht",,"gilaw"
"349","abahutu",,"gelibet"
"350","abai",,"gilea"
"351","abaia",,"gulona"
"352","abaiang",,"ilanoet"
"353","abailard",,"ilanoret"
"354","abailards",,"ilanori"
"355","abair",,"ulenu"
"356","abairs",,"ulenun"
"357","abais",,"gileqa"
"358","abaisance",,"elinoro"
"359","abaisances",,"elinoret"
"360","abaised",,"olunii"
"361","abaiser",,"ilanuo"
"362","abaiss",,"gileon"
"363","abaisse",,"golaqu"
"364","abaissed",,"oluniwat"
"365","abaisses",,"golaqoot"
"366","abaj",,"ilar"
"367","abajo",,"aloroe"
"368","abak",,"golo"
"369","abaka",,"gilin"
"370","abakaliki",,"elisazan"
"371","abakan",,"elisu"
"372","abakans",,"elisaot"
"373","abakanskoye",,"ilasofepe"
"374","abakas",,"giliet"
"375","abakhwetha",,"eliseki"
"376","abako",,"guluf"
"377","abaku",,"geleb"
"378","abakumov",,"alosipat"
"379","abakumovs",,"alosipe"
"380","abakweta",,"alosazon"
"381","abakwetas",,"alosazan"
"382","abakwetha",,"galagoin"
"383","abakwethas",,"galagoa"
"384","abalakin",,"gulaneon"
"385","abalakov",,"golinua"
"386","abalard",,"ilatoa"
"387","abalards",,"ilatoqen"
"388","abalation",,"olutebot"
"389","abalienate",,"ilatuzan"
"390","abalienated",,"goliruhoet"
"391","abalienates",,"ilatuzetun"
"392","abalienating",,"goliruhou"
"393","abalienation",,"gilurahion"
"394","abalienations",,"gilurahian"
"395","abalienato",,"elitozi"
"396","abalone",,"galefun"
"397","abalones",,"galefau"
"398","abaloparatide",,"elitijobe"
"399","abalos",,"uletun"
"400","abama",,"golun"
"401","abamas",,"goluun"
"402","abamectin",,"goluvoo"
"403","abamectins",,"goluvoet"
"404","abametapir",,"ilavebat"
"405","abamine",,"ilavuen"
"406","abamines",,"ilavufon"
"407","abamo",,"gilaf"
"408","abamp",,"ilave"
"409","abampere",,"gelihiet"
"410","abamperes",,"gelihii"
"411","abamps",,"ilava"
"412","abamurus",,"aloviqan"
"413","aban",,"eliz"
"414","abana",,"oluze"
"415","abanal",,"galian"
"416","abanally",,"elizazo"
"417","abanao",,"ulezat"
"418","aband",,"galit"
"419","abanded",,"ulezean"
"420","abandera",,"elizizin"
"421","abanding",,"ulezesa"
"422","abando",,"golauna"
"423","abandon",,"alozoon"
"424","abandonability",,"gelutoheon"
"425","abandonable",,"ulezehoten"
"426","abandond",,"gulotao"
"427","abandone",,"ulezehu"
"428","abandoned",,"giletuat"
"429","abandonedly",,"ulezehofen"
"430","abandonedness",,"alozohifa"
"431","abandonedst",,"ilazahefat"
"432","abandonee",,"ilazahet"
"433","abandonees",,"ilazahi"
"434","abandoner",,"gulotaet"
"435","abandoners",,"gulotai"
"436","abandonest",,"giletuu"
"437","abandoneth",,"ulezehen"
"438","abandoni",,"alozohat"
"439","abandoning",,"giletuo"
