"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1087070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"74501","b",,"ow"
"74502","ba",,"ek"
"74503","baaa",,"ikum"
"74504","baaad",,"kalot"
"74505","baabac",,"keluot"
"74506","baaberehutta",,"kilevipaa"
"74507","baack",,"ekori"
"74508","baade",,"kiliv"
"74509","baaden",,"ikuse"
"74510","baader",,"ekosan"
"74511","baae",,"ekot"
"74512","baaed",,"kilut"
"74513","baagandji",,"kilanuot"
"74514","baahling",,"kolavii"
"74515","baahner",,"kolapot"
"74516","baai",,"okin"
"74517","baaing",,"kiloat"
"74518","baaings",,"kilope"
"74519","baal",,"kila"
"74520","baalah",,"okiton"
"74521","baalath",,"kulenen"
"74522","baalathb",,"okitabat"
"74523","baalaths",,"kuleneon"
"74524","baalbec",,"aketua"
"74525","baalbeck",,"ukatizun"
"74526","baalbeer",,"kolurain"
"74527","baalbek",,"ukatiat"
"74528","baalbeki",,"ukatizu"
"74529","baalberi",,"kilareun"
"74530","baale",,"koluv"
"74531","baalebatim",,"kelivee"
"74532","baalebos",,"okitusan"
"74533","baalgad",,"okitai"
"74534","baalhamo",,"okitere"
"74535","baalhana",,"kilanoe"
"74536","baalhazo",,"kilanoea"
"74537","baalherm",,"kelinuat"
"74538","baali",,"kilar"
"74539","baalian",,"ukatue"
"74540","baalic",,"kilai"
"74541","baalim",,"kelion"
"74542","baalis",,"kilaan"
"74543","baalish",,"ekotea"
"74544","baalism",,"keliran"
"74545","baalisms",,"keliroun"
"74546","baalist",,"aketaon"
"74547","baalistic",,"aketawun"
"74548","baalistics",,"aketawu"
"74549","baalists",,"aketawan"
"74550","baalite",,"ukatuun"
"74551","baalites",,"ukatubu"
"74552","baalitic",,"aketaban"
"74553","baalitical",,"koluruan"
"74554","baaliticals",,"kolurutaun"
"74555","baalize",,"ekoteu"
"74556","baalized",,"kilareat"
"74557","baalizeds",,"kilaree"
"74558","baalizes",,"ekotenot"
"74559","baalizing",,"kilareo"
"74560","baalizings",,"kilareet"
"74561","baalman",,"okitean"
"74562","baalmeon",,"okitezun"
"74563","baalpeor",,"kelihuan"
"74564","baalpera",,"kalohiu"
"74565","baals",,"kilaq"
"74566","baalshal",,"kilaqiu"
"74567","baalshem",,"ikutiret"
"74568","baalshems",,"ikutiri"
"74569","baaltama",,"aketeron"
"74570","baaltis",,"aketeon"
"74571","baalzebu",,"kilamean"
"74572","baalzebub",,"ekotizin"
"74573","baalzeph",,"ikutazen"
"74574","baam",,"akeva"
"74575","baan",,"kole"
"74576","baana",,"kilon"
"74577","baanah",,"ekoze"
"74578","baanstra",,"kiloqaun"
"74579","baao",,"ukap"
"74580","baap",,"kelo"
"74581","baaps",,"keloq"
"74582","baar",,"kali"
"74583","baara",,"kelun"
"74584","baarah",,"ukajan"
"74585","baardman",,"kelutei"
"74586","baarle",,"akeja"
"74587","baarmutha",,"kilezein"
