"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1087070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"134619","c",,"ux"
"134620","caa",,"aka"
"134621","caaa",,"ekemi"
"134622","caaba",,"lilen"
"134623","caac",,"akar"
"134624","caadria",,"ekesuun"
"134625","caadron",,"lelecu"
"134626","caaed",,"lalet"
"134627","caagaman",,"lalonai"
"134628","caaguaz",,"lulebat"
"134629","caaing",,"laluet"
"134630","caaips",,"liloot"
"134631","caam",,"ikiva"
"134632","caama",,"ukuve"
"134633","caamano",,"lalinet"
"134634","caaming",,"lileret"
"134635","caanan",,"ekezat"
"134636","caanislagan",,"lilorupuu"
"134637","caanthus",,"lilowiet"
"134638","caanthuss",,"lilowii"
"134639","caaoacan",,"lilinua"
"134640","caap",,"lilu"
"134641","caapeba",,"okofio"
"134642","caapi",,"lilur"
"134643","caas",,"akaci"
"134644","caatinga",,"ukuqifu"
"134645","caatingas",,"ukuqifot"
"134646","caatsa",,"loloen"
"134647","caazap",,"ukulet"
"134648","cab",,"lem"
"134649","caba",,"lomu"
"134650","cabaa",,"liman"
"134651","cabaan",,"ukamet"
"134652","cabachon",,"lomusoat"
"134653","caback",,"lemiat"
"134654","cabacungan",,"limasei"
"134655","cabada",,"ekomon"
"134656","cabadbaran",,"lomutoat"
"134657","cabadiangan",,"ikumisojan"
"134658","cabadsan",,"lamoteen"
"134659","cabaeus",,"lamova"
"134660","cabaeuss",,"lamovien"
"134661","cabag",,"limam"
"134662","cabagan",,"akemoo"
"134663","cabaho",,"ikumua"
"134664","cabal",,"ukame"
"134665","cabala",,"akemin"
"134666","cabalagnan",,"okimurua"
"134667","cabalah",,"lomuvi"
"134668","cabalas",,"akemoaa"
"134669","cabalassou",,"ekomiro"
"134670","cabaled",,"lumevi"
"134671","cabales",,"ikumau"
"134672","cabaletta",,"ikumaza"
"134673","cabalettas",,"ikumazen"
"134674","cabalette",,"ekomizu"
