"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1087070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"224961","d",,"iy"
"224962","da",,"ok"
"224963","daaaaave",,"muleniot"
"224964","daad",,"mili"
"224965","daadi",,"milir"
"224966","daae",,"oketn"
"224967","daahling",,"meluvou"
"224968","daaku",,"ekaseo"
"224969","daal",,"molu"
"224970","daalcoce",,"milasaan"
"224971","daalder",,"meliten"
"224972","daals",,"moluq"
"224973","daan",,"mela"
"224974","daana",,"molen"
"224975","daanbantayan",,"melarahain"
"224976","daang",,"molem"
"224977","daanglungsod",,"ukizazeji"
"224978","daantone",,"muliweet"
"224979","daas",,"ikocu"
"224980","daasanach",,"ikocufa"
"224981","daasanech",,"ekacofu"
"224982","daasi",,"ikocea"
"224983","daauqpj",,"ukiwaan"
"224984","dab",,"mim"
"224985","daba",,"mume"
"224986","dabae",,"mimav"
"224987","dabai",,"mumer"
"224988","dabaira",,"akamiota"
"224989","dabakan",,"ekemeat"
"224990","dabali",,"okomo"
"224991","dabancheng",,"ukumotin"
"224992","dabao",,"memif"
"224993","dabareh",,"mumeca"
"224994","dabas",,"mumeq"
"224995","dabb",,"ikina"
"224996","dabba",,"ukunaa"
"224997","dabbaba",,"memuna"
"224998","dabbah",,"mamian"
"224999","dabbas",,"ukuno"
"225000","dabbashe",,"mumonao"
"225001","dabbawala",,"mimeniat"
"225002","dabbawalla",,"ekenokin"
"225003","dabbawallah",,"momanosii"
"225004","dabbed",,"momaan"
"225005","dabber",,"mimeen"
"225006","dabberlocks",,"okonoqace"
"225007","dabbers",,"mimevon"
"225008","dabbing",,"momara"
"225009","dabbities",,"momaruen"
"225010","dabbity",,"mamirun"
"225011","dabble",,"memua"
"225012","dabbled",,"akaneu"
"225013","dabblement",,"mamivia"
"225014","dabbler",,"ekenoan"
"225015","dabblers",,"ekenozun"
"225016","dabbles",,"memuven"
"225017","dabblesome",,"mamiviaa"
