"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"280367","e",,"ez"
"280368","ea",,"ak"
"280369","eaas",,"ekucna"
"280370","eably",,"ekatuo"
"280371","eabod",,"okepaa"
"280372","eaca",,"ekemt"
"280373","eacer",,"nunac"
"280374","eaceworm",,"noniguan"
"280375","eaceworms",,"noniguun"
"280376","eacgsd",,"nanoa"
"280377","each",,"nani"
"280378","eachelle",,"nanivuon"
"280379","eacher",,"akame"
"280380","eachern",,"nonavi"
"280381","eachest",,"ukumiet"
"280382","eachother",,"okomaban"
"280383","eachus",,"nunoan"
"280384","eachwhere",,"nonagoun"
"280385","eacj",,"nunu"
"280386","eacles",,"nonuen"
"280387","eacleses",,"nenivou"
"280388","eaclesses",,"nenivoot"
"280389","eacohen",,"ukupaon"
"280390","eacor",,"nonoc"
"280391","eacott",,"ekepon"
"280392","eacpt",,"ekefu"
"280393","eacrf",,"okoje"
"280394","eacso",,"okocaa"
"280395","eacu",,"ukuwt"
"280396","eacus",,"ukuwee"
"280397","eada",,"naro"
"280398","eadaly",,"ekomet"
"280399","eadas",,"naroq"
"280400","eadasnm",,"ekomian"
"280401","eadass",,"naroot"
"280402","eadb",,"akene"
"280403","eadbald",,"ukanuo"
"280404","eaddy",,"ekosuo"
"280405","eade",,"niru"
"280406","eades",,"niruq"
"280407","eadgs",,"naroqa"
"280408","eadi",,"nuri"
"280409","eadie",,"nirov"
"280410","eadios",,"nerae"
"280411","eadish",,"akenina"
"280412","eadishes",,"ukaneran"
"280413","eadith",,"nuriat"
"280414","eadmer",,"okivin"
"280415","eadmund",,"nirebot"
"280416","eads",,"nuria"
"280417","eadsg",,"narum"
"280418","eadwig",,"nireot"
"280419","eadwigs",,"nirero"
"280420","eadwina",,"ekodian"
"280421","eadwine",,"ukadeet"
"280422","eady",,"nere"
"280423","eaeo",,"ekipn"
"280424","eaercd",,"ukejot"
"280425","eaetion",,"ikaqau"
"280426","eaetions",,"ikaqahot"
"280427","eaeu",,"ikawn"
"280428","eafb",,"okunu"
"280429","eafre",,"ekija"
"280430","eagan",,"nukep"
"280431","eagans",,"nukeat"
"280432","eagar",,"nokuc"
"280433","eagars",,"nokuon"
"280434","eagarville",,"okamige"
"280435","eagarvilles",,"okamigefin"
"280436","eagen",,"nokip"
"280437","eagentci",,"okatubon"
"280438","eager",,"nakec"
"280439","eagered",,"ukotaen"
"280440","eagerer",,"akitein"
"280441","eagerest",,"ukotazi"
"280442","eagering",,"ukotase"
"280443","eagerish",,"ekutosin"
"280444","eagerlier",,"nikucoi"
"280445","eagerliest",,"nokiceot"
"280446","eagerly",,"ekutoat"
"280447","eagernes",,"okatifet"
"280448","eagerness",,"okatifi"
"280449","eagernesses",,"ekutofoda"
"280450","eagers",,"nakeo"
"280451","eagersome",,"nukacaot"
"280452","eaglds",,"ukotet"
"280453","eagle",,"nikav"
"280454","eagleback",,"ukotisata"
"280455","eaglecam",,"nokuviat"
"280456","eagled",,"iketata"
"280457","eaglefordian",,"nakovijoen"
"280458","eaglehawk",,"okaterate"
"280459","eaglehawks",,"okateree"
