Marsji Language			
Top 1000 Core Words			
English ? Marsji Edition			
Version 1.0			
			
	EN		Marsji
1	all		ure
2	and		utu
3	boy		uvia
4	car		leh
5	cat		lac
6	day		ukea
7	end		eto
8	family		bitoe
9	home		uvetn
10	it		koa
11	man		rev
12	name		ekottu
13	one		tas
14	people		urafue
15	read		peloi
16	school		emopina
17	speak		fusoto
18	the		hos
19	this		himen
20	you		ovaa
21	ask		eho
22	book		ivos
23	can		liv
24	dog		uvi
25	eye		ado
26	first		ulico
27	go		uv
28	he		hen
29	child		lumat
30	in		ku
31	learn		arojeta
32	morning		ruharon
33	open		uzoza
34	play		valai
35	question		ucaceso
36	room		ovevni
37	say		ekua
38	start		filiwo
39	today		hurila
40	word		ovusti
41	about		iliwaa
42	at		gia
43	brother		ofeqeat
44	drink		ifuzia
45	easy		okoki
46	father		bucoen
47	girl		elutt
48	help		urafu
49	chair		akani
50	know		mizu
51	my		mi
52	new		ares
53	paper		ekitou
54	please		vesiena
55	rich		panen
56	she		fas
57	show		fezi
58	son		fov
59	they		husio
60	what		ekoqni
61	always		gabooa
62	be		un
63	body		kurena
64	careful		luhale
65	cry		lig
66	door		muzuu
67	everything		nosaluo
68	face		ukutna
69	her		geh
70	if		if
71	many		rivie
72	no		av
73	pen		vuv
74	place		volevi
75	road		pilat
76	stop		ejufa
77	student		ojesion
78	two		ewi
79	want		ikeqro
80	where		ukujes
81	answer		otedi
82	between		oreduet
83	clear		oremaa
84	country		liquwon
85	dance		muviv
86	do		iv
87	each		nani
88	friend		bemeu
89	his		aliu
90	job		lom
91	life		nigoa
92	more		rohat
93	park		vuhae
94	person		iroceti
95	ready		pilul
96	second		eripata
97	soon		fuzanu
98	that		okeqna
99	we		ura
100	why		qeg
101	able		alot
102	before		oropon
103	but		kace
104	clean		urimis
105	close		luziv
106	dream		mesoz
107	eight		alimii
108	for		buh
109	hand		ikest
110	inside		utenata 
111	now		ivu
112	or		tî
113	picture		oloqeea
114	river		ilutono
115	ship		akofn
116	shop		okafna
117	sit		fec
118	table		akatano
119	very		cehou
120	write		ufoqee
121	air		gih
122	black		kelat
123	cinema		loveen
124	daughter		moqunuen
125	eat		nuc
126	from		bazou
127	good		dozuu
128	head		gelos
129	cheese		lisien
130	important		kapuceet
131	land		akusna
132	money		revul
133	pay		okide
134	problem		vizavo
135	run		piv
136	same		ekotro
137	see		eras
138	send		uresna
139	thing		akezee
140	work		qohau
141	any		gog
142	as		it
143	better		kucaan
144	cold		ivise
145	come		ovita
146	doctor		aveqot
147	find		eleso
148	game		akitna
149	idea		kosene
150	kind		elest
151	live		nawui
152	make		ukutto
153	peace		ireroa
154	popular		vupovata
155	right		elomos
156	small		usutee
157	so		ave
158	some		ovitto
159	there		akijas
160	wait		qimia
161	again		galup
162	back		akis
163	could		oveto
164	document		evowizu
165	egg		egu
166	fire		bahuo
167	give		dawua
168	chance		ekezata
169	information		kegucusiua
170	light		ilamae
171	may		ikosu
172	often		ticap
173	prefer		vasaoa
174	put		vec
175	red		par
176	stone		ejuzo
177	such		finot
178	think		ikuzii
179	understand		itutuwoi
180	visit		cojuwa
181	around		gazaat
182	best		kajea
183	call		eket
184	cut		loc
185	dinner		mivaon
186	down		mobia
187	explain		abotao
188	get		dic
189	interesting		kacuceboot
190	long		nuvit
191	move		rawia
192	out		tuc
193	page		akitre
194	reach		polon
