Marsji Language — Canonical Lexical Lock						
Version: 1.0						
Locked: 16 May 2026 — 20:26 UTC						
Total Entries: 1087070						
Author: Gino Rouzee						
						
ID		    EN				        MJ
320640		f				    ub
320641		fa				    ake
320642		faa				    ekue
320643		faaan				bulep
320644		faaanish				akimosin
320645		faaas				okamua
320646		faab				belu
320647		faade				buluv
320648		faadhoo				akiseun
320649		faadhoohuraagandu				akisehato
320650		faafafine				belonuot
320651		faafu				belob
320652		faahuttaa				belubie
320653		faailk				biloe
320654		faaing				bulion
320655		faal				bule
320656		faamafu				balinot
320657		faamg				akivaa
320658		faan				bilo
320659		faandhoo				boletoon
320660		faanehuttaa				ikezorugin
320661		faanfiction				ukozisigin
320662		faang				bulim
320663		faanish				ukozeen
320664		faanishness				baluresiun
320665		faanumaahuraa				bulibusao
320666		faard				ekujui
320667		faarufushi				belubuen
320668		faas				ekucne
320669		faassen				boleqa
320670		faathiyehuttaa				boloninoo
320671		faax				biloa
320672		fab				bam
320673		faba				bemi
320674		fabaceae				bamosiun
320675		fabaceaes				bamosiu
320676		fabacean				ukimezin
320677		fabaceous				bemisuat
320678		fabacher				bemisean
320679		fabada				okemio
320680		fabadas				okemaat
320681		fabae				bamov
320682		fabago				bumeen
320683		faball				bimaat
320684		fabas				bemiq
320685		fabavirus				bumedaat
320686		fabbed				bumoin
320687		fabber				bamiat
320688		fabbest				bumovo
320689		fabbing				bumori
320690		fabbo				ikones
320691		fabby				ikonena
320692		fabcon				akuria
320693		fabe				buma
320694		fabela				ukitee
320695		fabella				bomiva
320696		fabellar				ikotizan
320697		fabellectomy				oketozizi
320698		fabello				bimuve
320699		fabellofemoral				ukituzuren
320700		fabellofibular				bumavijuan
320701		fabellopatellar				ikotiziqat
320702		fabellotibial				ikotizigi
320703		fabelmans				bumavuat
320704		fabens				oketata
320705		fabenss				oketuea
320706		faber				akuteu
320707		faberg				ekatao
320708		faberga				oketiea
320709		fabergas				oketinin
320710		faberge				akutean
320711		faberges				akutenun
320712		fabergs				ekatoen
320713		faberoo				ukitaot
320714		faberry				bomicot
320715		fabes				bumaq
320716		fabesetron				ikotaze
320717		fabest				ukitei
320718		fabfilter				bumarie
320719		fabi				bamu
320720		fabia				beman
320721		fabian				ukinin
320722		fabiana				akunaata
320723		fabianae				ukinufa
320724		fabianas				akunafe
320725		fabianer				bimonuu
320726		fabianest				bomenion
320727		fabianism				okenofet
320728		fabianisms				okenofi
320729		fabianist				bimonuo
320730		fabianists				bimonuet
320731		fabianite				bomenii
320732		fabianner				ekanefan
320733		fabiannest				akunafa
320734		fabiano				ekaneet
320735		fabians				ukinua
320736		fabid				akuni
320737		fabids				akunia
320738		fabien				okenun
320739		fabienne				bimovuu
320740		fabiform				bomeluan
320741		fabio				bomef
320742		fabiola				okenain
320743		fabiolas				okenaza
320744		fabism				bimoun
320745		fabius				bumien
320746		fabiuss				bumibon
320747		fablan				bomuot
320748		fable				ikotoi
320749		fabled				bomuu
320750		fabledom				bomuvuen
320751		fableist				bomuviet
320752		fableland				bumevian
320753		fablelike				bumeviun
320754		fablemaker				bamovaet
320755		fablemonger				ekatapejin
320756		fablemongering				bumevujoun
320757		fabler				bimaan
320758		fablers				bimavun
320759		fables				ikoten
320760		fabless				ikotoon
320761		fabliau				ukiteaa
320762		fabliaux				bemiraun
320763		fabling				bomuron
320764		fablings				bomurian
320765		fablist				bimaru
320766		fablon				bimaun
320767		fablons				bimafu
320768		fabness				okezee
320769		faboo				bumuf
320770		fabotherapeutic				okeparibin
320771		fabotherapic				bumuwupea
320772		fabotherapy				bemewepia
320773		fabozzi				bamamin
320774		fabraea				okejoat
320775		fabraeas				okejoze
320776		fabrazyme				bomanaen
320777		fabre				akuju
320778		fabrefaction				bemuvusuet
320779		fabrega				okejee
320780		fabri				ekajie
320781		fabria				okejuna
320782		fabriane				bimerou
320783		fabrianese				bomarei
320784		fabrianna				ikojare
320785		fabrianne				ekajiran
320786		fabriano				bemurae
320787		fabrianos				bemurain
320788		fabric				ekajae
320789		fabrica				okejue
320790		fabricability				bomarisua
320791		fabricable				akujotin
320792		fabricant				ukijetet
320793		fabricants				ukijeti
320794		fabricat				bemuroat
320795		fabricate				bamirea
320796		fabricated				akujotu
320797		fabricates				bamireen
320798		fabricating				akujotogon
320799		fabrication				ekajitigin
320800		fabricational				bamiresuin
320801		fabrications				ekajitiga
320802		fabricative				ukijetegan
320803		fabricator				ukijetia
320804		fabricators				ukijetegat
320805		fabricatory				ekajitige
320806		fabricatress				ekajitigu
320807		fabricature				akujotoga
320808		fabrice				akujoan
320809		fabricensis				bomaripae
320810		fabricia				okejutot
320811		fabricius				akujotot
320812		fabriciuss				akujoto
320813		fabrick				akujoun
320814		fabricke				ukijeto
320815		fabricked				bimeruin
320816		fabricking				bimerui
320817		fabricky				okejutota
320818		fabricless				bimeruo
320819		fabriclike				bomariun
320820		fabrics				ekajien
320821		fabrienne				ukijezet
320822		fabrik				akujat
320823		fabrikant				ikojavu
320824		fabrikoid				bemuruot
320825		fabrile				bimere
320826		fabrin				bimeun
320827		fabrique				akujoce
320828		fabritius				bumoree
320829		fabritiuss				bumorein
320830		fabrizi				bomaren
320831		fabrizio				bumoroat
320832		fabro				ikojee
320833		fabron				bamiu
320834		fabronia				bemufoe
320835		fabroniaceae				bamifetei
320836		fabroniaceaes				bamifeteat
320837		fabronias				bemufoin
320838		fabrosaur				bimefuot
320839		fabrosaurid				ikojewakot
320840		fabrosaurids				ikojewako
320841		fabrosaurus				bomafisoun
320842		fabry				ikojei
320843		fabrys				ikojen
320844		fabs				bamua
320845		fabtabulous				akuqasefo
320846		fabtastic				bamaneo
320847		fabula				ukiwua
320848		fabulae				ikowiet
320849		fabular				bumavet
320850		fabulas				ukiwuot
320851		fabulate				bomiveo
320852		fabulated				okeworin
320853		fabulates				bomiveet
320854		fabulating				okewori
320855		fabulation				ikowirot
320856		fabulations				ikowirivo
320857		fabulator				ekaweran
320858		fabulators				ekawerun
320859		fabulianus				bamevei
320860		fabulicious				ukiwusive
320861		fabulise				okewosot
320862		fabulised				bemovoe
320863		fabulises				okewoso
320864		fabulising				bemovoet
320865		fabulism				ekawesan
320866		fabulist				bomivion
320867		fabulistic				bomiviun
320868		fabulists				bomivian
320869		fabulize				bimuvuu
320870		fabulized				ikowisat
320871		fabulizes				bimuvuot
320872		fabulizing				ikowiso
320873		fabulosities				bimuvabeat
320874		fabulosity				bemovia
320875		fabulous				ukiwuhen
320876		fabulously				bumaveu
320877		fabulousness				bamevogiun
320878		fabulousnesses				bumavegoet
320879		faburden				ekawoven
320880		faburdens				ekawovon
320881		fabyan				ekakot
320882		fabyans				ekakeo
320883		fabyola				ukikoot
320884		facacta				beniset
320885		facadal				akamii
320886		facade				bunein
320887		facadectomy				ekemuzagan
320888		facaded				ukumouna
320889		facades				buneta
320890		facading				ukumosen
320891		facadism				binatuu
320892		facadisms				binatuot
320893		facahn				ukumina
320894		facchett				binonee
320895		facchinello				ekerosafot
320896		facciolas				benariu
320897		faccombe				bunifuet
320898		facd				bunu
320899		face				ukutna
320900		faceable				ikitiset
320901		faceache				bunanaen
320902		facebar				eketoot
320903		facebars				eketoroa
320904		facebase				bunario
320905		faceberg				akatezat
320906		faceblind				akatezu
320907		facebook				boniruen
320908		facebookable				benorijea
320909		facebooked				eketohi
320910		facebooker				okotiho
320911		facebooking				eketohepot
320912		facebookland				ukutahupun
320913		facebooks				boniruon
320914		facebooky				bunarean
320915		facebow				bunaro
320916		facebread				bunaruen
320917		facebrick				ukutaqen
320918		facebuster				boniraet
320919		facecam				ikitaene
320920		facecare				bunasio
320921		facecheek				benoseat
320922		faceclaim				benosae
320923		facecloth				bunasiat
320924		facecloths				bunasie
320925		facecode				bunaseo
320926		facecrime				benoseun
320927		faced				binut
320928		facedly				ukutou
320929		facedness				akatifuna
320930		facedown				eketuhen
320931		facedowns				eketuhon
320932		facefirst				baneleet
320933		facefuck				binuleu
320934		facefucked				okoteda
320935		facefucking				okotedepat
320936		facefucks				binuleot
320937		faceful				ikitoia
320938		faceguard				akatade
320939		faceharden				okotira
320940		facehole				ukutaho
320941		facehoof				akatehin
320942		facehoofed				binunao
320943		facehoofing				binunajiun
320944		facehoofs				akateha
320945		faceism				okotuu
320946		facekini				baneteen
320947		facekoo				okoteu
320948		facel				boniv
320949		faceless				benovuan
320950		facelessly				okotozo
320951		facelessness				ikitizodot
320952		facelessnesses				okotozedat
320953		facelet				eketeaa
320954		facelick				benovoun
320955		facelicked				akatasin
320956		facelicking				akatasupi
320957		facelicks				benovou
320958		facelift				binuvuot
320959		facelifted				okotosen
320960		facelifting				okotosige
320961		facelifts				binuvuo
320962		facelike				banevea
320963		facelinid				bunavaun
320964		facellite				bunaviat
320965		facelock				binuvau
320966		facemail				benozaun
320967		facemailed				akaterin
320968		facemailing				akaterufi
320969		facemails				benozau
320970		facemaker				benozauna
320971		facemaking				banezuan
320972		faceman				banezu
320973		facemark				bonizeen
320974		facemask				okotirin
320975		facemasks				okotiraa
320976		facemen				binuzat
320977		facemire				benozoat
