"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1087070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"354921","g",,"ad"
"354922","gaadams",,"delenin"
"354923","gaadhiffushi",,"dalanenaat"
"354924","gaadhoo",,"ikasion"
"354925","gaaerifaru",,"dulacaet"
"354926","gaafaru",,"ekikao"
"354927","gaafu",,"dilub"
"354928","gaagandu",,"okulefu"
"354929","gaagandufaruhuraa",,"ekilafakat"
"354930","gaagudju",,"okulavin"
"354931","gaak",,"ikasne"
"354932","gaakoshibi",,"ekisiwu"
"354933","gaakurali",,"okusaqo"
"354934","gaal",,"deli"
"354935","gaalee",,"dulean"
"354936","gaamathikulhudhoo",,"ikavobaven"
"354937","gaan",,"dalu"
"354938","gaanay",,"diloot"
"354939","gaang",,"delam"
"354940","gaap",,"dula"
"354941","gaas",,"ukecni"
"354942","gaash",,"dilon"
"354943","gaastra",,"akocoi"
"354944","gaastras",,"akocoqat"
"354945","gaatch",,"ukeqea"
"354946","gaathafushi",,"ekiqerekot"
"354947","gaathurehaa",,"akoqadofa"
"354948","gaaundoodhoo",,"ikawuvoco"
"354949","gaavilingili",,"ikabuzejat"
"354950","gab",,"dom"
"354951","gaba",,"dima"
"354952","gabaculine",,"domusaot"
"354953","gabae",,"domuv"
"354954","gabaelf",,"domuvat"
"354955","gabaergic",,"akimiqe"
"354956","gabagool",,"ikemohata"
"354957","gabaldon",,"okamevu"
"354958","gabalfa",,"dumevu"
"354959","gabaminergic",,"dumezahuun"
"354960","gabanergic",,"demipui"
"354961","gabaon",,"ukomea"
"354962","gabaonite",,"demifoet"
"354963","gabaonites",,"demifoi"
"354964","gabaons",,"ukomein"
"354965","gabapentenoid",,"akimiziget"
"354966","gabapentin",,"dimaheun"
"354967","gabapentine",,"domuhaheo"
"354968","gabapentinoid",,"ekumuzuga"
"354969","gabapentins",,"dimahehou"
"354970","gabar",,"akimao"
"354971","gabardin",,"okamovu"
"354972","gabardina",,"ikemivan"
"354973","gabardine",,"ekumevet"
"354974","gabardines",,"ekumevi"
