"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
,,,
"ID","EN",,"MJ"
"390840","h",,"iga"
"390841","ha",,"eka"
"390842","haab",,"galis"
"390843","haabs",,"galiqa"
"390844","haack",,"ekorie"
"390845","haacke",,"akeroe"
"390846","haacker",,"gilotat"
"390847","haad",,"guluna"
"390848","haadhoo",,"ekosaaa"
"390849","haadhuaa",,"ikusoden"
"390850","haaf",,"gelon"
"390851","haafs",,"geloq"
"390852","haafu",,"galeb"
"390853","haag",,"ikult"
"390854","haagen",,"goluot"
"390855","haagoord",,"okilihu"
"390856","haags",,"ikulia"
"390857","haahasht",,"gelunoe"
"390858","haai",,"okinna"
"390859","haak",,"ekosne"
"390860","haakdoring",,"gulateot"
"390861","haake",,"akesoo"
"390862","haakenson",,"okisufot"
"390863","haakinson",,"ikusife"
"390864","haakon",,"giluuni"
"390865","haaksbergen",,"geloqepia"
"390866","haal",,"gilas"
"390867","haaland",,"gelinii"
"390868","haalpulaar",,"okituda"
"390869","haam",,"akevn"
"390870","haan",,"goleno"
"390871","haanepoot",,"gelavuu"
"390872","haanepoots",,"gelavuot"
"390873","haangi",,"giloea"
"390874","haapai",,"goliota"
"390875","haapala",,"ukafoe"
"390876","haapalaite",,"galenueta"
"390877","haapam",,"galeea"
"390878","haapsalu",,"okifore"
"390879","haapsalus",,"okiforin"
"390880","haar",,"galina"
"390881","haarder",,"gulotoe"
"390882","haaretz",,"galive"
"390883","haaretzs",,"galivoin"
"390884","haarlem",,"ikujeen"
"390885","haarlemer",,"galivio"
"390886","haarlemmermeer",,"okijazihan"
"390887","haarp",,"ukaje"
"390888","haars",,"galiqe"
"390889","haarscheibe",,"guloqasue"
"390890","haart",,"okijie"
"390891","haary",,"golal"
"390892","haas",,"okicno"
"390893","haase",,"ekocii"
"390894","haass",,"okicoo"
"390895","haast",,"guliwa"
"390896","haastia",,"galuwin"
"390897","haastiae",,"guliwaon"
"390898","haastias",,"galuwea"
"390899","haastii",,"guliwi"
"390900","haasts",,"gulioe"
"390901","haat",,"guluni"
"390902","haau",,"ekown"
"390903","haba",,"gamono"
"390904","habab",,"ikamou"
"390905","habability",,"ikamosun"
"390906","hababs",,"ikamine"
"390907","habacuc",,"gumesa"
"390908","habad",,"okumit"
"390909","habadnik",,"gemitoun"
"390910","habaera",,"ikamaota"
"390911","habag",,"gemime"
"390912","habaiah",,"ukemuu"
"390913","habaki",,"gumeena"
"390914","habakkuk",,"gemitue"
"390915","habakkuks",,"gemituin"
"390916","habakuk",,"gomuto"
"390917","habal",,"ekimuu"
"390918","habana",,"ekimena"
"390919","habanera",,"gimapeun"
"390920","habaneras",,"gimapeu"
"390921","habanerita",,"akomaze"
"390922","habanero",,"gumepoon"
"390923","habaneros",,"gumepoan"
"390924","habara",,"ukemana"
"390925","habarovskii",,"gamocokiun"
"390926","habas",,"gamoqu"
"390927","habashi",,"ikamiet"
"390928","habat",,"okumis"
"390929","habazini",,"gumemaan"
"390930","habba",,"ikaneu"
"390931","habbacuc",,"okunatia"
"390932","habbakuk",,"akonivan"
"390933","habbe",,"ekinin"
