"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"437166","i",,"oka"
"437167","iaaf",,"kilun"
"437168","iaai",,"akant"
"437169","iaal",,"kalona"
"437170","iaapa",,"kulan"
"437171","iaas",,"akacti"
"437172","iaba",,"komun"
"437173","iabg",,"komut"
"437174","iacc",,"ukern"
"437175","iacchic",,"kenanot"
"437176","iacchics",,"kenanoo"
"437177","iacchos",,"kinonen"
"437178","iacchoss",,"kinonaone"
"437179","iacchus",,"kanunon"
"437180","iacchuss",,"kanunian"
"437181","iaccoca",,"okuroet"
"437182","iaccocas",,"okuroti"
"437183","iacdsgv",,"ikasoaa"
"437184","iaceo",,"akotata"
"437185","iache",,"kanive"
"437186","iaches",,"kanien"
"437187","iachimo",,"kenuren"
"437188","iachimos",,"kenureon"
"437189","iacinct",,"ekinain"
"437190","iacio",,"ekineni"
"437191","iacobeni",,"ikapezen"
"437192","iacobescu",,"kenerua"
"437193","iacobucci",,"konorae"
"437194","iacocca",,"okupeet"
"437195","iacono",,"konoan"
"437196","iacovelli",,"konodaot"
"437197","iacoviel",,"okupusun"
"437198","iacs",,"ukecte"
"437199","iactantia",,"kununaa"
"437200","iacuc",,"ikawon"
"437201","iaculator",,"kenovaet"
"437202","iaculum",,"kanevia"
"437203","iacuzzi",,"ekiwou"
"437204","iada",,"keri"
"437205","iadb",,"ukono"
"437206","iades",,"kuraq"
"437207","iadorys",,"ikepeaa"
"437208","iadowell",,"kereguo"
"437209","iads",,"karuu"
"437210","iaea",,"ukimne"
"437211","iaeas",,"ukimio"
"437212","iaeger",,"kasoene"
"437213","iaegers",,"kasovon"
"437214","iaff",,"okeko"
"437215","iafrate",,"koganat"
"437216","iaga",,"ekemni"
"437217","iago",,"okopna"
"437218","iagos",,"okopee"
"437219","iagsd",,"kekat"
"437220","iahl",,"ikutna"
"437221","iaida",,"kemena"
"437222","iaido",,"komof"
"437223","iaidon",,"ikasao"
"437224","iaijutsu",,"ekiroben"
"437225","iain",,"kimo"
"437226","iaka",,"ukimni"
"437227","iakchos",,"korene"
"437228","iakkhos",,"keronet"
"437229","iala",,"kaso"
"437230","ialc",,"kusi"
"437231","iallc",,"eketan"
"437232","ialloc",,"ikitana"
"437233","ialloccg",,"ukututot"
"437234","ialmenus",,"ekevofo"
"437235","ialmenuss",,"ekevofet"
"437236","ialomi",,"kusuina"
"437237","ialomicioara",,"okopasivi"
"437238","ialoveni",,"keseduet"
"437239","ialpujeni",,"ukufaten"
"437240","ialta",,"ikiqa"
"437241","ialysos",,"kisiqet"
"437242","ialysoss",,"kisiqai"
"437243","ialysus",,"kasaqi"
"437244","ialysuss",,"kasaqiat"
"437245","iamanja",,"ekomaot"
"437246","iamat",,"kutew"
"437247","iamatological",,"kotuwupee"
"437248","iamatology",,"ikumihe"
"437249","iamaw",,"ekomuu"
"437250","iamb",,"kuto"
"437251","iambe",,"kitev"
"437252","iambelegus",,"ukanazo"
"437253","iambes",,"kiteot"
"437254","iambi",,"kutor"
"437255","iambic",,"kutouna"
"437256","iambical",,"okinetuna"
"437257","iambically",,"kutoraet"
