"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"470895","j",,"ed"
"470896","ja",,"oke"
"470897","jaadi",,"lilir"
"470898","jaadugar",,"ukisunun"
"470899","jaafar",,"ekakun"
"470900","jaagsiekte",,"leliqoot"
"470901","jaakan",,"leloona"
"470902","jaakko",,"ikosote"
"470903","jaakobah",,"ekasasot"
"470904","jaal",,"lolun"
"470905","jaala",,"lilan"
"470906","jaalah",,"ikotino"
"470907","jaalam",,"lelione"
"470908","jaalfano",,"luleliat"
"470909","jaali",,"lolur"
"470910","jaalin",,"ukitato"
"470911","jaalins",,"ukitoea"
"470912","jaan",,"lelan"
"470913","jaanai",,"loleot"
"470914","jaap",,"laleo"
"470915","jaaps",,"laleq"
"470916","jaar",,"lulon"
"470917","jaareore",,"ukijuhat"
"470918","jaasau",,"ikocee"
"470919","jaasiel",,"lelarane"
"470920","jaazania",,"ukilafun"
"470921","jaazaniah",,"laleneen"
"470922","jaazer",,"ukileta"
"470923","jaaziah",,"ekaluua"
"470924","jaaziel",,"okelaon"
"470925","jab",,"lima"
"470926","jabador",,"lemiton"
"470927","jabal",,"okomia"
"470928","jabalia",,"ikimuota"
"470929","jabalina",,"lemivoun"
"470930","jabaliya",,"akameset"
"470931","jabalpur",,"ikimujo"
"470932","jabals",,"okomena"
"470933","jabalya",,"akamea"
"470934","jaban",,"ekemunu"
"470935","jabara",,"akamina"
"470936","jabari",,"ukuminu"
"470937","jabarite",,"limacuea"
"470938","jabarites",,"limacuin"
"470939","jabba",,"ukunai"
"470940","jabbah",,"lamiuni"
"470941","jabbar",,"lamiate"
"470942","jabbari",,"laminu"
"470943","jabbed",,"lomaun"
"470944","jabbee",,"ekenona"
"470945","jabber",,"limeona"
"470946","jabbered",,"ekeneqat"
"470947","jabberer",,"okonoqet"
"470948","jabberers",,"okonoqi"
"470949","jabberfest",,"limeviot"
"470950","jabbering",,"ekeneqo"
"470951","jabberingly",,"lomavotae"
"470952","jabberings",,"ekeneqet"
"470953","jabberment",,"lomavoon"
"470954","jabbernowl",,"lumovuun"
"470955","jabbers",,"limevana"
"470956","jabbersome",,"lomavoona"
"470957","jabberwa",,"lomavoot"
"470958","jabberwo",,"limeviun"
"470959","jabberwock",,"lomavoone"
"470960","jabberwockian",,"akanaqucot"
"470961","jabberwockies",,"lemuvelaen"
"470962","jabberwocks",,"lomavolean"
"470963","jabberwocky",,"lumovuliun"
"470964","jabberwockys",,"lumovuliu"
"470965","jabbery",,"lamivun"
"470966","jabbing",,"lomarena"
"470967","jabbingly",,"okonafu"
"470968","jabble",,"lemuen"
"470969","jabbled",,"akaneot"
"470970","jabbles",,"lemuvon"
"470971","jabbling",,"akanesana"
"470972","jabbok",,"ukuniu"
"470973","jabborwocky",,"lomafoleat"
"470974","jabbour",,"lamifu"
"470975","jabby",,"akanus"
"470976","jabe",,"lomitu"
"470977","jabee",,"lemove"
"470978","jabeen",,"ikituna"
"470979","jabem",,"lameza"
"470980","jaber",,"okotut"
"470981","jabers",,"okotos"
"470982","jabesh",,"okoteni"
