"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"481440","k",,"uf"
"481441","ka",,"aki"
"481442","kaaawa",,"ekumon"
"481443","kaaawas",,"ekumoan"
"481444","kaaba",,"molan"
"481445","kaabah",,"ikenun"
"481446","kaabakan",,"akinavo"
"481447","kaabas",,"molaeta"
"481448","kaaddoo",,"ukosoon"
"481449","kaadehdhoo",,"ukosirine"
"481450","kaaf",,"molin"
"481451","kaafarataa",,"meloneet"
"481452","kaafir",,"ikekina"
"481453","kaafu",,"melob"
"481454","kaag",,"okaln"
"481455","kaak",,"akisnu"
"481456","kaal",,"muleo"
"481457","kaala",,"malon"
"481458","kaalgat",,"ekuteea"
"481459","kaalhehuttaa",,"mulenosuan"
"481460","kaalhugemendhoo",,"molunaroot"
"481461","kaalilaatikko",,"mulerisaot"
"481462","kaalvoet",,"miladaet"
"481463","kaama",,"akivao"
"481464","kaamas",,"akivin"
"481465","kaamchor",,"okavuran"
"481466","kaanapali",,"malunie"
"481467","kaang",,"mulim"
"481468","kaapee",,"maleaa"
"481469","kaapo",,"mulaf"
"481470","kaapor",,"akifot"
"481471","kaaps",,"moliqa"
"481472","kaapse",,"meloea"
"481473","kaapstad",,"moliquat"
"481474","kaapstads",,"molique"
"481475","kaare",,"maliv"
"481476","kaaren",,"ikejuni"
"481477","kaarimba",,"ekujipu"
"481478","kaarina",,"akijoo"
"481479","kaartjie",,"muloweot"
"481480","kaas",,"ekuctu"
"481481","kaashidhoo",,"malunea"
"481482","kaaskop",,"milotet"
"481483","kaassouffl",,"miloqain"
"481484","kaataplectic",,"akiqajofun"
"481485","kaatialaite",,"muluripaon"
"481486","kaatsu",,"muluata"
"481487","kaatz",,"okaqea"
"481488","kab",,"mami"
"481489","kaba",,"memis"
"481490","kabaab",,"ikoman"
"481491","kabab",,"okemis"
"481492","kababayan",,"mimaroen"
"481493","kababbed",,"ekamosie"
"481494","kababbing",,"ekamosot"
"481495","kababish",,"momurie"
"481496","kababishs",,"momuriin"
"481497","kababs",,"okemot"
"481498","kabacan",,"akumoin"
"481499","kabaddi",,"mamoten"
"481500","kabaddis",,"mamotoon"
"481501","kabadi",,"ekamin"
"481502","kabah",,"okemina"
"481503","kabahokusei",,"ekamohokon"
"481504","kabaka",,"memiea"
"481505","kabakas",,"memitin"
"481506","kabakjian",,"mimataat"
"481507","kabakon",,"akumuoa"
"481508","kabala",,"ekamit"
"481509","kabalah",,"memivot"
"481510","kabalarian",,"akumarane"
"481511","kabalas",,"ekameata"
"481512","kabalassou",,"okemorun"
"481513","kabalebo",,"memivuot"
"481514","kabalega",,"ekameze"
"481515","kabalevsky",,"mimavean"
"481516","kabalevskys",,"mimavekeun"
"481517","kabalism",,"ikomiso"
"481518","kabalisms",,"ikomiset"
"481519","kabalist",,"mumevaot"
"481520","kabalistic",,"mumevaet"
"481521","kabalists",,"mumevao"
"481522","kaballah",,"akumazet"
"481523","kaballit",,"ikomizo"
"481524","kabalo",,"okemoo"
"481525","kabam",,"mumez"
"481526","kaban",,"ukimeo"
"481527","kabana",,"akumua"
