"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"502942","l",,"ag"
"502943","la",,"ika"
"502944","laaarge",,"nulecen"
"502945","laab",,"nilei"
"502946","laac",,"ukert"
"502947","laachite",,"ikarisin"
"502948","laad",,"noloi"
"502949","laada",,"nilina"
"502950","laadah",,"akosei"
"502951","laadan",,"okusin"
"502952","laag",,"akoln"
"502953","laager",,"nilaan"
"502954","laagered",,"ikaleqe"
"502955","laagering",,"ikaleqeta"
"502956","laagers",,"nilavun"
"502957","laaitie",,"nelawan"
"502958","laak",,"ikasta"
"502959","laakso",,"akosine"
"502960","laal",,"nelio"
"502961","laaland",,"nulenen"
"502962","laam",,"okuvu"
"502963","laamu",,"ekivui"
"502964","laan",,"nalue"
"502965","laanecoorie",,"ukezoticin"
"502966","laang",,"nelam"
"502967","laanie",,"nulio"
"502968","laao",,"ekipnu"
"502969","laaoo",,"ikapai"
"502970","laap",,"nulao"
"502971","laapsi",,"nulaen"
"502972","laarbeek",,"okujozo"
"502973","laari",,"nilere"
"502974","laaris",,"nileat"
"502975","laas",,"ukecre"
"502976","laascaanood",,"okucirijat"
"502977","laaspere",,"ukecozon"
"502978","laatsch",,"ukeqaon"
"502979","laavenite",,"nelivoun"
"502980","laawrs",,"neluet"
"502981","laayoune",,"nolofao"
"502982","lab",,"nom"
"502983","laba",,"nimane"
"502984","labaara",,"okameot"
"502985","labac",,"nimasa"
"502986","labacum",,"namose"
"502987","labadie",,"ikemaat"
"502988","labadies",,"ikemase"
"502989","labadieville",,"nemitopoo"
"502990","labadievilles",,"nemitopoet"
"502991","labadism",,"okamuset"
"502992","labadist",,"nomutio"
"502993","labahoula",,"numeneat"
"502994","labak",,"nomut"
"502995","labakid",,"ikemeea"
"502996","labakk",,"nemion"
"502997","labalophile",,"nimavacai"
"502998","labalophilist",,"akimuhaten"
"502999","laban",,"okamiu"
"503000","labana",,"ikemana"
"503001","laband",,"namoat"
"503002","labane",,"ekumet"
"503003","labaneh",,"namopu"
"503004","labangan",,"namopua"
"503005","labangon",,"nemipae"
"503006","labanna",,"numepen"
"503007","labannah",,"ekumofe"
"503008","labanotation",,"nomupudiin"
"503009","labanotations",,"nomupudia"
"503010","labans",,"okamot"
"503011","labanyachandra",,"akimemeze"
"503012","labao",,"namofo"
"503013","labar",,"akimana"
"503014","labara",,"ekumeta"
"503015","labarbara",,"ikemisu"
"503016","labarbera",,"ekumesat"
"503017","labarge",,"akimain"
"503018","labarges",,"akimanaa"
"503019","labaria",,"ekumean"
"503020","labarr",,"numea"
"503021","labarraques",,"numecusaun"
"503022","labarre",,"nimacan"
"503023","labarres",,"nimaciun"
"503024","labarum",,"okamoo"
"503025","labarums",,"okamodet"
"503026","labas",,"nimaqu"
"503027","labasco",,"namoqe"
"503028","labastida",,"nimaqau"
"503029","labat",,"ukomeno"
"503030","labate",,"ikemiu"
"503031","labatt",,"nomuua"
"503032","labau",,"nomub"
"503033","labauve",,"ekumuon"
"503034","labaw",,"nemig"
"503035","labay",,"namola"
"503036","labb",,"ukont"
"503037","labba",,"akinuu"
