"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"536641","m",,"eh"
"536642","ma",,"eke"
"536643","maa",,"okis"
"536644","maaan",,"rilap"
"536645","maab",,"rali"
"536646","maabab",,"ukanina"
"536647","maabara",,"akeniun"
"536648","maacah",,"relae"
"536649","maachah",,"ukarieta"
"536650","maachath",,"relanao"
"536651","maack",,"ekorio"
"536652","maackiain",,"roletiot"
"536653","maackii",,"ekoriat"
"536654","maad",,"rulu"
"536655","maadai",,"ralao"
"536656","maadiah",,"ikusiun"
"536657","maadler",,"rolovi"
"536658","maaed",,"rilut"
"536659","maafa",,"rolin"
"536660","maag",,"ikulne"
"536661","maagha",,"roluan"
"536662","maahs",,"raliq"
"536663","maai",,"okinnu"
"536664","maaing",,"riloen"
"536665","maalaea",,"rulenat"
"536666","maale",,"roluv"
"536667","maalehac",,"ekotirana"
"536668","maaliw",,"reliin"
"536669","maaloces",,"rulefau"
"536670","maalouf",,"ikutuua"
"536671","maaloula",,"ekotodun"
"536672","maalox",,"aketeu"
"536673","maaloxes",,"ukatalon"
"536674","maaloxs",,"aketein"
"536675","maam",,"akevne"
"536676","maamar",,"ruloat"
"536677","maamau",,"akevun"
"536678","maamed",,"reluun"
"536679","maaming",,"reluren"
"536680","maammed",,"rulozun"
"536681","maamming",,"rulozaen"
"536682","maams",,"akevae"
"536683","maamselle",,"akevazo"
"536684","maan",,"role"
"536685","maana",,"rilon"
"536686","maanahao",,"ukazori"
"536687","maanda",,"akezat"
"536688","maanen",,"ekozet"
"536689","maang",,"rilom"
"536690","maangtika",,"akezibon"
"536691","maanhaar",,"ralunuan"
"536692","maanja",,"akeze"
"536693","maanshan",,"relaqeen"
"536694","maaori",,"roloan"
"536695","maap",,"relo"
"536696","maaq",,"ikuha"
"536697","maar",,"ralia"
"536698","maarad",,"ikujon"
"536699","maarath",,"relunot"
"536700","maarch",,"ikujan"
"536701","maarchs",,"ikujiun"
"536702","maare",,"rulov"
"536703","maargazhi",,"rulomien"
"536704","maarianhamina",,"ukajureton"
"536705","maarianhaminas",,"ukajuretan"
"536706","maarib",,"ikujana"
"536707","maaribs",,"ikujiuna"
"536708","maariv",,"ekojona"
"536709","maars",,"raliqa"
"536710","maarten",,"reluwin"
"536711","maartener",,"ikujuzu"
"536712","maartje",,"rilewo"
"536713","maas",,"okicru"
"536714","maasai",,"ikucana"
"536715","maasais",,"ikuceun"
"536716","maasaw",,"ekocen"
"536717","maasbanker",,"rolerein"
"536718","maasdam",,"rilota"
"536719","maasdriel",,"roletou"
"536720","maaseh",,"ruliat"
"536721","maaseiah",,"raluvean"
"536722","maaseik",,"akecoin"
"536723","maases",,"ekocena"
"536724","maasgouw",,"okicahet"
"536725","maash",,"ralun"
"536726","maasha",,"relau"
"536727","maashaus",,"ralunuana"
"536728","maashorst",,"rolenuot"
"536729","maasiai",,"ikucie"
"536730","maasim",,"akecue"
"536731","maasin",,"rolean"
"536732","maass",,"okicot"
"536733","maassel",,"roleqan"
"536734","maassen",,"relaqin"
"536735","maassluis",,"roleqeot"
