"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"609156","n",,"kn"
"609157","na",,"uk"
"609158","naaa",,"ekemtu"
"609159","naab",,"sola"
"609160","naacp",,"siloh"
"609161","naacps",,"siloi"
"609162","naado",,"silif"
"609163","naafi",,"silur"
"609164","naafis",,"siluun"
"609165","naai",,"akannu"
"609166","naaied",,"saluat"
"609167","naaiing",,"saluro"
"609168","naais",,"akanuni"
"609169","naajis",,"selei"
"609170","naalakkersuisut",,"selinuzee"
"609171","naalehu",,"okotiota"
"609172","naalehus",,"okotiro"
"609173","naam",,"ikivno"
"609174","naamah",,"seluon"
"609175","naaman",,"silean"
"609176","naamana",,"sulonen"
"609177","naamann",,"ukuveen"
"609178","naamathi",,"ukuvebi"
"609179","naameh",,"suloo"
"609180","naamehs",,"sulovet"
"609181","naamghar",,"ekevirun"
"609182","naamites",,"silerau"
"609183","naams",,"ikivoe"
"609184","naan",,"suli"
"609185","naanizza",,"siloree"
"609186","naans",,"suliq"
"609187","naansense",,"ikizoze"
"609188","naantali",,"silowoin"
"609189","naanwich",,"ekezusata"
"609190","naaqs",,"ekeha"
"609191","naar",,"solaa"
"609192","naara",,"silen"
"609193","naarah",,"okojuo"
"609194","naarai",,"sileana"
"609195","naaran",,"ukujot"
"609196","naarath",,"silenun"
"609197","naarm",,"saliz"
"609198","naarmcore",,"akajitot"
"609199","naartje",,"saliwu"
"609200","naartjes",,"saliwoot"
"609201","naartjie",,"saliwoa"
"609202","naas",,"akacsi"
"609203","naashoibitosaurus",,"ukucohavu"
"609204","naashom",,"solenen"
"609205","naashon",,"akaciin"
"609206","naasioi",,"okoceo"
"609207","naassene",,"soleqaa"
"609208","naassenes",,"soleqaen"
"609209","naasseness",,"soleqaon"
"609210","naassenism",,"selaquot"
"609211","naasson",,"selaqan"
"609212","naasz",,"silom"
"609213","naat",,"sele"
"609214","naati",,"seler"
"609215","naawan",,"silei"
"609216","nab",,"sem"
"609217","naba",,"somu"
"609218","nababeep",,"somurain"
"609219","nabac",,"somus"
"609220","nabageena",,"ikumazun"
"609221","nabago",,"samoe"
"609222","nabak",,"semit"
"609223","nabal",,"ukames"
"609224","nabala",,"akemana"
"609225","nabalamprophyllite",,"simavofian"
"609226","nabalas",,"akemoun"
"609227","nabalawag",,"akemorot"
"609228","nabali",,"ukamao"
"609229","nabalism",,"okimusen"
"609230","nabalisms",,"okimuson"
"609231","nabalite",,"sumevaon"
"609232","nabalites",,"sumevaan"
"609233","nabalitic",,"samoveen"
"609234","nabalitics",,"samoveon"
"609235","nabaloi",,"ekomiia"
"609236","nabalois",,"ekomihat"
"609237","nabalus",,"ikumaan"
"609238","nabaluses",,"okimudo"
"609239","nabaluss",,"ikumadun"
"609240","nabalusses",,"okimudet"
"609241","nabam",,"samoz"
"609242","naban",,"ikumona"
"609243","nabangig",,"akemuno"
"609244","nabaphite",,"ekomorun"
"609245","nabarangpur",,"simacohuet"
"609246","nabari",,"ekomene"
"609247","nabarlek",,"sumecion"
"609248","nabasagan",,"ekomarat"
"609249","nabat",,"akemat"
