Marsji Language,,,,,
Top 1000 Core Words,,,,,
Dutch ? Marsji Edition,,,,,
Version 1.0,,,,,
,,,,,
,NL,,Marsji,,EN
1,allemaal,,ure,,all
2,en,,utu,,and
3,jongen,,uvia,,boy
4,auto,,leh,,car
5,kat,,lac,,cat
6,dag,,ukea,,day
7,einde,,eto,,end
8,familie,,bitoe,,family
9,huis,,uvetn,,home
10,het,,koa,,it
11,Mens,,rev,,man
12,naam,,ekottu,,name
13,een,,tas,,one
14,mensen,,urafue,,people
15,lezen,,peloi,,read
16,school,,emopina,,school
17,spreken,,fusoto,,speak
18,de,,hos,,the
19,dit,,himen,,this
20,u,,ovaa,,you
21,vragen,,eho,,ask
22,boek,,ivos,,book
23,kan,,liv,,can
24,hond,,uvi,,dog
25,oog,,ado,,eye
26,eerste,,ulico,,first
27,Gaan,,uv,,go
28,hij,,hen,,he
29,kind,,lumat,,child
30,in,,ku,,in
31,leren,,arojeta,,learn
32,ochtend,,ruharon,,morning
33,open,,uzoza,,open
34,Speel,,valai,,play
35,vraag,,ucaceso,,question
36,kamer,,ovevni,,room
37,zeggen,,ekua,,say
38,begin,,filiwo,,start
39,vandaag,,hurila,,today
40,woord,,ovusti,,word
41,over,,iliwaa,,about
42,Bij,,gia,,at
43,broer,,ofeqeat,,brother
44,drinken,,ifuzia,,drink
45,gemakkelijk,,okoki,,easy
46,vader,,bucoen,,father
47,meisje,,elutt,,girl
48,helpen,,urafu,,help
49,stoel,,akani,,chair
50,weten,,mizu,,know
51,mijn,,mi,,my
52,nieuw,,ares,,new
53,papier,,ekitou,,paper
54,alstublieft,,vesiena,,please
55,rijk,,panen,,rich
56,ze,,fas,,she
57,tonen,,fezi,,show
58,zoon,,fov,,son
59,ze,,husio,,they
60,wat,,ekoqni,,what
61,altijd,,gabooa,,always
62,worden,,un,,be
63,lichaam,,kurena,,body
64,voorzichtig,,luhale,,careful
65,huilen,,lig,,cry
66,deur,,muzuu,,door
67,alles,,nosaluo,,everything
68,gezicht,,ukutna,,face
69,haar,,geh,,her
70,als,,if,,if
71,veel,,rivie,,many
72,Nee,,av,,no
73,pen,,vuv,,pen
74,plaats,,volevi,,place
75,weg,,pilat,,road
76,hou op,,ejufa,,stop
77,leerling,,ojesion,,student
78,twee,,ewi,,two
79,willen,,ikeqro,,want
80,waar,,ukujes,,where
81,antwoord,,otedi,,answer
82,tussen,,oreduet,,between
83,doorzichtig,,oremaa,,clear
84,land,,liquwon,,country
85,dans,,muviv,,dance
86,Doen,,iv,,do
87,elk,,nani,,each
88,vriend,,bemeu,,friend
89,zijn,,aliu,,his
90,baan,,lom,,job
91,leven,,nigoa,,life
92,meer,,rohat,,more
93,park,,vuhae,,park
94,persoon,,iroceti,,person
95,klaar,,pilul,,ready
96,tweede,,eripata,,second
97,spoedig,,fuzanu,,soon
98,dat,,okeqna,,that
99,wij,,ura,,we
100,waarom,,qeg,,why
101,bekwaam,,alot,,able
102,voordat,,oropon,,before
103,maar,,kace,,but
104,schoon,,urimis,,clean
105,dichtbij,,luziv,,close
106,droom,,mesoz,,dream
107,acht,,alimii,,eight
108,voor,,buh,,for
109,hand,,ikest,,hand
110,binnen,,utenata ,,inside
111,nu,,ivu,,now
112,of,,tî,,or
113,afbeelding,,oloqeea,,picture
114,rivier,,ilutono,,river
115,schip,,akofn,,ship
116,winkel,,okafna,,shop
117,zitten,,fec,,sit
118,tafel,,akatano,,table
119,heel,,cehou,,very
120,schrijven,,ufoqee,,write
121,lucht,,gih,,air
122,zwart,,kelat,,black
123,bioscoop,,loveen,,cinema
124,dochter,,moqunuen,,daughter
125,eten,,nuc,,eat
126,van,,bazou,,from
127,mooi zo,,dozuu,,good
128,hoofd,,gelos,,head
129,kaas,,lisien,,cheese
130,belangrijk,,kapuceet,,important
131,land,,akusna,,land
132,geld,,revul,,money
133,betalen,,okide,,pay
134,probleem,,vizavo,,problem
135,rennen,,piv,,run
136,dezelfde,,ekotro,,same
137,zien,,eras,,see
138,sturen,,uresna,,send
139,ding,,akezee,,thing
140,werk,,qohau,,work
141,ieder,,gog,,any
142,zoals,,it,,as
143,beter,,kucaan,,better
144,verkoudheid,,ivise,,cold
145,komen,,ovita,,come
146,dokter,,aveqot,,doctor
147,vind,,eleso,,find
148,spel,,akitna,,game
149,idee,,kosene,,idea
150,soort,,elest,,kind
151,leven,,nawui,,live
152,maken,,ukutto,,make
153,vrede,,ireroa,,peace
154,populair,,vupovata,,popular
155,Rechtsaf,,elomos,,right
156,klein,,usutee,,small
157,zo,,ave,,so
158,sommige,,ovitto,,some
159,Daar,,akijas,,there
160,wacht,,qimia,,wait
161,nog een keer,,galup,,again
162,terug,,akis,,back
163,kon,,oveto,,could
164,document,,evowizu,,document
165,ei,,egu,,egg
166,brand,,bahuo,,fire
167,geven,,dawua,,give
168,kans,,ekezata,,chance
169,informatie,,kegucusiua,,information
170,licht,,ilamae,,light
171,mei,,ikosu,,may
172,vaak,,ticap,,often
173,verkiezen,,vasaoa,,prefer
174,zetten,,vec,,put
175,rood,,par,,red
176,steen,,ejuzo,,stone
177,zo,,finot,,such
178,denken,,ikuzii,,think
179,begrijpen,,itutuwoi,,understand
180,bezoek,,cojuwa,,visit
181,in de omgeving van,,gazaat,,around
182,het beste,,kajea,,best
183,bellen,,eket,,call
184,besnoeiing,,loc,,cut
185,avondeten,,mivaon,,dinner
186,naar beneden,,mobia,,down
187,leg uit,,abotao,,explain
188,krijgen,,dic,,get
189,interessant,,kacuceboot,,interesting
