"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"651951","o",,"oj"
"651952","oabs",,"timo"
"651953","oacis",,"okinas"
"651954","oacnr",,"akezo"
"651955","oacoma",,"ikupet"
"651956","oacomas",,"ikupai"
"651957","oadal",,"ekimou"
"651958","oadby",,"ukenine"
"651959","oadding",,"tarari"
"651960","oades",,"teroq"
"651961","oadm",,"tari"
"651962","oadmin",,"okuvue"
"651963","oaer",,"tosa"
"651964","oaf",,"tug"
"651965","oafdom",,"ikesita"
"651966","oafish",,"ukonens"
"651967","oafisher",,"tugiquo"
"651968","oafishest",,"tigoqiun"
"651969","oafishlier",,"okanarun"
"651970","oafishliest",,"ekunuruven"
"651971","oafishly",,"taguqau"
"651972","oafishness",,"tegaqeun"
"651973","oafishnesses",,"taguqahaet"
"651974","oaflike",,"akitiina"
"651975","oafs",,"tugi"
"651976","oahcl",,"ekeroa"
"651977","oahost",,"ukupae"
"651978","oahu",,"toli"
"651979","oahuan",,"akawata"
"651980","oahus",,"toliq"
"651981","oaia",,"ikumtu"
"651982","oaihsyw",,"timeqet"
"651983","oail",,"temi"
"651984","oailrs",,"ekotett"
"651985","oak",,"eku1"
"651986","oakamoor",,"tarozoun"
"651987","oakbark",,"okaniina"
"651988","oakberry",,"turovuu"
"651989","oakbluffs",,"okanidi"
"651990","oakbluffss",,"okanidat"
"651991","oakboro",,"ekunaon"
"651992","oakboros",,"ekunaqan"
"651993","oakboy",,"teruu"
"651994","oakboys",,"terufot"
"651995","oakdale",,"ukosaota"
"651996","oakdales",,"ukosazo"
"651997","oakdowns",,"ikesokun"
"651998","oake",,"akitra"
"651999","oaked",,"taret"
"652000","oaken",,"tirup"
"652001","oakener",,"okataua"
"652002","oakenest",,"ekutuzon"
"652003","oakenfold",,"ukotoman"
"652004","oakengates",,"iketenin"
"652005","oakenner",,"tarepean"
"652006","oakennest",,"turapaa"
"652007","oakenshaw",,"okatawen"
"652008","oakenshaws",,"okatawon"
"652009","oakenshi",,"iketewu"
"652010","oaker",,"teroc"
"652011","oakers",,"terou"
"652012","oakerson",,"akitowin"
"652013","oakes",,"akitino"
"652014","oakesdale",,"iketevat"
"652015","oakesdales",,"iketevea"
"652016","oakeshott",,"toriqoot"
"652017","oakeshottean",,"ukotoragu"
"652018","oakeshottian",,"akitiregat"
"652019","oakesia",,"ekutuet"
"652020","oakesias",,"ekutusia"
"652021","oakest",,"tareen"
"652022","oakey",,"okates"
"652023","oakfield",,"tareriun"
"652024","oakfields",,"tareriu"
"652025","oakford",,"tarefan"
"652026","oakfords",,"tarefaun"
"652027","oakgall",,"akileina"
"652028","oakhall",,"tarinat"
"652029","oakhalls",,"tarinue"
"652030","oakham",,"teruot"
"652031","oakhampton",,"ekumopot"
"652032","oakhams",,"teruno"
"652033","oakhanger",,"terunoi"
"652034","oakhill",,"turoro"
"652035","oakhurst",,"terubeet"
"652036","oakhursts",,"terubei"
"652037","oakie",,"akinane"
"652038","oakier",,"terain"
"652039","oakies",,"akinate"
"652040","oakiest",,"taruvi"
"652041","oakiness",,"tiropei"
