"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"685679","p",,"ako"
"685680","pa",,"aku"
"685681","paac",,"ekurne"
"685682","paakantji",,"volinian"
"685683","paakantyi",,"akisafina"
"685684","paaknam",,"velopan"
"685685","paal",,"vule"
"685686","paaliaq",,"veliran"
"685687","paals",,"vuleq"
"685688","paama",,"akivan"
"685689","paamayim",,"akivame"
"685690","paamese",,"okaveat"
"685691","paamiut",,"volaro"
"685692","paan",,"vilo"
"685693","paanakam",,"volenaen"
"685694","paaneleinrg",,"ukozizavun"
"685695","paang",,"vulim"
"685696","paanga",,"value"
"685697","paans",,"viloq"
"685698","paanwallah",,"ekuzorun"
"685699","paap",,"voli"
"685700","paapanen",,"volinio"
"685701","paar",,"velu"
"685702","paarai",,"volain"
"685703","paaraphimosis",,"vulonosoi"
"685704","paaratte",,"valinou"
"685705","paarite",,"akijoan"
"685706","paarl",,"akijat"
"685707","paars",,"veluq"
"685708","paarsput",,"veluquat"
"685709","paarthiba",,"ikejerun"
"685710","paas",,"ekucso"
"685711","paasikivi",,"viloreen"
"685712","paasikivis",,"viloreon"
"685713","paassen",,"voleqot"
"685714","paauhau",,"valenu"
"685715","paauhaus",,"valenuot"
"685716","paauilo",,"valerot"
"685717","paauilos",,"valeruo"
"685718","paauw",,"ikewue"
"685719","paavo",,"velif"
"685720","paavonur",,"vilafuu"
"685721","paawkier",,"volatien"
"685722","paba",,"vemi"
"685723","pabalum",,"okemoea"
"685724","pabanog",,"okemuua"
"685725","pabas",,"vemiq"
"685726","pabble",,"vimeon"
"685727","pabbled",,"ikonioa"
"685728","pabbles",,"vimevan"
"685729","pabbling",,"ikonisun"
"685730","pabebe",,"ukitann"
"685731","pabianice",,"ikonifat"
"685732","pabir",,"ekanoi"
"685733","pabires",,"akunean"
"685734","pabirs",,"ekanas"
"685735","pablo",,"ekatutu"
"685736","pabloism",,"ukitoseta"
"685737","pabloist",,"vamofeo"
"685738","pablos",,"ekatanu"
"685739","pablum",,"ekatatu"
"685740","pablumese",,"ukitipo"
"685741","pablumish",,"vemibeot"
"685742","pablumize",,"vemibee"
"685743","pablumized",,"ekatapan"
"685744","pablumizes",,"vemibein"
"685745","pablumizing",,"ekatapasa"
"685746","pablums",,"ekataen"
"685747","pabna",,"ukizui"
"685748","pabon",,"akupon"
"685749","paborita",,"vimicuu"
"685750","pabouch",,"okepee"
"685751","pabouche",,"ekapaten"
"685752","pabouches",,"ekapatona"
"685753","pabrad",,"vemuo"
"685754","pabst",,"akucii"
"685755","pabstite",,"vimowue"
"685756","pabsts",,"akucona"
"685757","pabular",,"vumaven"
"685758","pabulary",,"vemovaan"
"685759","pabulation",,"ikowirin"
"685760","pabulatory",,"ikowire"
"685761","pabulous",,"ukiwuho"
"685762","pabulum",,"akuwaat"
"685763","pabulums",,"akuwade"
"685764","pabx",,"ikoga"
"685765","pac",,"aka1"
"685766","paca",,"ekemre"
"685767","pacable",,"ukumaee"
"685768","pacaf",,"vonul"
"685769","pacaguara",,"vinameu"
"685770","pacaguaras",,"vinameot"
