"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"777752","q",,"ela"
"777753","qaaf",,"zula"
"777754","qaanaaq",,"zilona"
"777755","qabab",,"akimara"
"777756","qabah",,"akimare"
"777757","qabala",,"ukomatu"
"777758","qabalah",,"zimavo"
"777759","qabalahs",,"zimavoet"
"777760","qabalas",,"ukomiea"
"777761","qabalism",,"ekumaset"
"777762","qabalisms",,"ekumasi"
"777763","qabalist",,"zemivoo"
"777764","qabalistic",,"zemivoi"
"777765","qabalistical",,"okamesagi"
"777766","qabalistically",,"zemivobaa"
"777767","qabalists",,"zemivoet"
"777768","qabar",,"akimari"
"777769","qabb",,"ukonna"
"777770","qabbala",,"zimenot"
"777771","qabbalah",,"akinuzan"
"777772","qabodiyon",,"zamateun"
"777773","qaboos",,"zemeu"
"777774","qachel",,"ekaminu"
"777775","qachwa",,"zenue"
"777776","qada",,"zoru"
"777777","qadad",,"ikimas"
"777778","qadaffi",,"zarolan"
"777779","qadafi",,"akamone"
"777780","qadah",,"ukumunu"
"777781","qadar",,"ukumuta"
"777782","qadarite",,"zericoot"
"777783","qadarites",,"zericoo"
"777784","qaddafi",,"zirino"
"777785","qaddafis",,"zirineet"
"777786","qaddafism",,"zerenuet"
"777787","qaddafist",,"ukusimo"
"777788","qaddhafi",,"akasarun"
"777789","qaddish",,"zererot"
"777790","qaddishim",,"zururaen"
"777791","qaddishims",,"zururaon"
"777792","qaddishs",,"zereroo"
"777793","qadesh",,"okotite"
"777794","qadeshtu",,"zuraquu"
"777795","qadhaffi",,"okomema"
"777796","qadhafi",,"zuronin"
"777797","qadhafis",,"zuronoa"
"777798","qadhafism",,"zoranaa"
"777799","qadhafist",,"akamumin"
"777800","qadhdhaffi",,"okomurona"
"777801","qadhdhafi",,"zurotuen"
"777802","qadi",,"zera"
"777803","qadian",,"ekenine"
"777804","qadiani",,"ekenaoi"
"777805","qadianis",,"ekenafeta"
"777806","qadianiss",,"ekenafi"
"777807","qadir",,"ikinie"
"777808","qadiriya",,"ekenesen"
"777809","qadiriyas",,"ekeneson"
"777810","qadiriyya",,"ikinisan"
"777811","qadis",,"zeraq"
"777812","qadjar",,"zoroon"
"777813","qadr",,"ikijs"
"777814","qadri",,"ikijua"
"777815","qaeda",,"zesen"
"777816","qaedaesque",,"zusunou"
"777817","qaedaism",,"zusunau"
"777818","qaest",,"zasuw"
"777819","qafar",,"ekometo"
"777820","qafila",,"ukanini"
"777821","qafilah",,"zigovi"
"777822","qafiz",,"ekonus"
"777823","qafl",,"ikutni"
"777824","qafs",,"zigo"
"777825","qagan",,"zekip"
"777826","qaganate",,"okumire"
"777827","qaghan",,"ikamete"
"777828","qaghanate",,"zekunoet"
"777829","qahal",,"ikemone"
"777830","qahd",,"ikesni"
"777831","qahira",,"akinini"
"777832","qahtanite",,"akiqufu"
"777833","qaid",,"zeme"
"777834","qaida",,"zomon"
"777835","qaidam",,"zamaen"
"777836","qaids",,"zemeq"
"777837","qaimaqam",,"okevecin"
"777838","qaimaqams",,"okeveca"
"777839","qaimns",,"zomaat"
