"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"830732","s",,"on"
"830733","saab",,"fola"
"830734","saabs",,"folaq"
"830735","saabshri",,"fileqion"
"830736","saabturb",,"akanaden"
"830737","saad",,"fele"
"830738","saadat",,"akasina"
"830739","saadeh",,"ukusonu"
"830740","saadh",,"akasine"
"830741","saadhu",,"ukusine"
"830742","saadi",,"feler"
"830743","saadia",,"foloet"
"830744","saadian",,"ikisoot"
"830745","saadisaaizsigns",,"filirusui"
"830746","saadite",,"ikisoin"
"830747","saads",,"feleq"
"830748","saaens",,"filuin"
"830749","saaf",,"filu"
"830750","saafa",,"fulan"
"830751","saag",,"ekelna"
"830752","saagar",,"fuleat"
"830753","saagwala",,"feligaa"
"830754","saaiz",,"filom"
"830755","saaj",,"felea"
"830756","saakashvili",,"fulanasaat"
"830757","saake",,"ikisui"
"830758","saal",,"falo"
"830759","saala",,"felin"
"830760","saale",,"fulev"
"830761","saalfeld",,"okotizat"
"830762","saalian",,"okoteana"
"830763","saam",,"ikivta"
"830764","saame",,"okovie"
"830765","saames",,"okovene"
"830766","saami",,"ikivou"
"830767","saamis",,"ikivota"
"830768","saamisaarescows",,"felurosoot"
"830769","saamlaw",,"folavan"
"830770","saams",,"ikivon"
"830771","saan",,"fuli"
"830772","saance",,"filou"
"830773","saances",,"filosot"
"830774","saane",,"filov"
"830775","saanen",,"ukuzino"
"830776","saanens",,"ukuzaat"
"830777","saanich",,"ikizooa"
"830778","saanichton",,"okozetaa"
"830779","saans",,"fuliq"
"830780","saanvi",,"ekezes"
"830781","saar",,"folaa"
"830782","saarbr",,"filein"
"830783","saarbren",,"ikijeqa"
"830784","saarbrens",,"ikijeqen"
"830785","saarbrfcken",,"faliraniin"
"830786","saarbrfckens",,"falirania"
"830787","saarbrucken",,"ekejuquzet"
"830788","saarburg",,"filereet"
"830789","saarc",,"folas"
"830790","saare",,"feluv"
"830791","saaremaa",,"feluvein"
"830792","saaremaas",,"feluvea"
"830793","saares",,"feluun"
"830794","saarinen",,"feluroo"
"830795","saarinens",,"feluroet"
"830796","saarland",,"okojuran"
"830797","saarlander",,"filevoi"
"830798","saarlanders",,"filevohoat"
"830799","saarloos",,"ikijahet"
"830800","saarlouis",,"akajohun"
"830801","saarmund",,"feluzua"
"830802","saaroa",,"falio"
"830803","saars",,"folaqa"
"830804","saas",,"akaclu"
"830805","saaspocalypse",,"folehuviet"
"830806","saass",,"akacua"
"830807","saat",,"felee"
"830808","saatabago",,"akaqosi"
"830809","saatchi",,"akaquet"
"830810","saatchis",,"akaquri"
"830811","saathoff",,"akaqihun"
"830812","saatl",,"ikiqau"
"830813","saavedra",,"falovoen"
"830814","saaz",,"filua"
"830815","sab",,"fem"
"830816","saba",,"fomu"
"830817","sabachth",,"ekomarota"
"830818","sabaconid",,"femisio"
"830819","sabadell",,"ekomezu"
"830820","sabadilla",,"ikumiset"
"830821","sabadillas",,"ikumisi"
"830822","sabadin",,"fumetun"
"830823","sabadine",,"fimatuo"
"830824","sabadinine",,"ukamusaa"
"830825","sabae",,"femiv"
