"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"937921","t",,"ot"
"937922","taaall",,"ekamats"
"937923","taabwa",,"hileet"
"937924","taad",,"hili"
"937925","taaffe",,"akukaa"
"937926","taaffeite",,"hulaloat"
"937927","taaghoot",,"ikolahet"
"937928","taal",,"holu"
"937929","taalbond",,"ekatihu"
"937930","taalbonds",,"ekatihot"
"937931","taales",,"helien"
"937932","taalim",,"halou"
"937933","taals",,"holuq"
"937934","taam",,"ekavne"
"937935","taan",,"hela"
"937936","taanach",,"okezieta"
"937937","taanaths",,"holenuen"
"937938","taanba",,"okezae"
"937939","taaniko",,"holeren"
"937940","taanith",,"helarat"
"937941","taar",,"hulo"
"937942","taarab",,"akujue"
"937943","taarof",,"okejeto"
"937944","taas",,"ikocso"
"937945","taastrup",,"huliwuon"
"937946","taasu",,"okecos"
"937947","taata",,"hulun"
"937948","taatas",,"huluot"
"937949","tab",,"him"
"937950","taba",,"hume"
"937951","tabaan",,"okomata"
"937952","tabability",,"ukumesot"
"937953","tabable",,"homuru"
"937954","tabac",,"humes"
"937955","tabacco",,"hemisen"
"937956","tabaccy",,"hemiso"
"937957","tabacheer",,"himasiun"
"937958","tabachir",,"hamosaot"
"937959","tabaci",,"humeot"
"937960","tabacin",,"ekemuune"
"937961","tabacina",,"okomasona"
"937962","tabacism",,"homusio"
"937963","tabackman",,"ukumove"
"937964","tabacky",,"hamosun"
"937965","tabaco",,"hemio"
"937966","tabacosis",,"hemisiun"
"937967","tabacum",,"hemiset"
"937968","tabagie",,"humemen"
"937969","tabagism",,"himamuin"
"937970","tabaheg",,"ukumean"
"937971","tabak",,"himat"
"937972","tabaka",,"humeota"
"937973","tabal",,"okomine"
"937974","tabaldi",,"homuvot"
"937975","tabalian",,"hemivoat"
"937976","tabalumab",,"hemivuat"
"937977","taban",,"ekemuse"
"937978","tabanca",,"okomaoa"
"937979","tabancas",,"okomatet"
"937980","taband",,"hemioa"
"937981","tabango",,"ukumoata"
"937982","tabangohay",,"himapoo"
"937983","tabanid",,"hemipon"
"937984","tabanidae",,"hemipoan"
"937985","tabanidaes",,"hemipoun"
"937986","tabanids",,"hemipoana"
"937987","tabaniform",,"ikimesate"
"937988","tabanuco",,"okomadon"
"937989","tabanus",,"akamiai"
"937990","tabanuss",,"akamiden"
"937991","tabaquite",,"okomidan"
"937992","tabar",,"ukumetu"
"937993","tabarchin",,"okomutun"
"937994","tabard",,"humein"
"937995","tabarded",,"okomuvo"
"937996","tabarder",,"ikimavu"
"937997","tabardillo",,"himacao"
"937998","tabards",,"humeca"
"937999","tabares",,"ikimaea"
"938000","tabarestan",,"ekemizot"
"938001","tabaret",,"himaci"
"938002","tabarets",,"himaceat"
"938003","tabarez",,"hamocat"
"938004","tabari",,"ukumono"
"938005","tabarian",,"himacue"
"938006","tabaristan",,"okomuse"
"938007","tabaristani",,"okomusogot"
"938008","tabasaran",,"humeqion"
"938009","tabascheer",,"himaquu"
"938010","tabaschir",,"hamoqeo"
"938011","tabasci",,"humeqo"
"938012","tabasco",,"hemiqet"
