"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"993329","u",,"up"
"993330","uaap",,"joli"
"993331","uabnurgl",,"okezeqan"
"993332","uabrahls",,"ekajeru"
"993333","uaccess",,"ukurien"
"993334","uachtar",,"jenuwin"
"993335","uachtaran",,"akamireta"
"993336","uacsc",,"akacone"
"993337","uadmin",,"akevota"
"993338","uadnalfj",,"joreneu"
"993339","uadsg",,"jarum"
"993340","uaeaf",,"jesil"
"993341","uaeb",,"juso"
"993342","uaemoc",,"ukevene"
"993343","uaesdg",,"jusian"
"993344","uaessuor",,"jasuqii"
"993345","uagc",,"ekurta"
"993346","uagds",,"jakaq"
"993347","uags",,"ekucdi"
"993348","uagsd",,"jakut"
"993349","uaicsg",,"ekerati"
"993350","uaigds",,"jamoet"
"993351","uais",,"akacdo"
"993352","uakari",,"jaroet"
"993353","uakaris",,"jaroci"
"993354","uakitite",,"okunasan"
"993355","uakron",,"ukejin"
"993356","ualapue",,"ukomione"
"993357","ualeo",,"jusaf"
"993358","ualis",,"jisoq"
"993359","uall",,"okatto"
"993360","uals",,"jiso"
"993361","ualt",,"ikeqre"
"993362","uanc",,"jove"
"993363","uandy",,"ukusoti"
"993364","uang",,"jiva"
"993365","uani",,"jovea"
"993366","uapaca",,"jipau"
"993367","uapdu",,"akosus"
"993368","uaraicu",,"jahoret"
"993369","uaraycu",,"johulon"
"993370","uaraycus",,"johulian"
"993371","uarbffoh",,"jehuluon"
"993372","uarbry",,"jihein"
"993373","uard",,"akuste"
"993374","uarekena",,"ekatazun"
"993375","uarekenas",,"ekatazua"
"993376","uarray",,"ukijena"
"993377","uars",,"jahu"
"993378","uarsciek",,"jihosuet"
"993379","uart",,"akuqto"
"993380","uaru",,"juha"
"993381","uasdg",,"jajam"
"993382","uasg",,"ekelni"
"993383","uasin",,"jojep"
"993384","uathach",,"jecunot"
"993385","uathavik",,"jicenoi"
"993386","uatp",,"ekofne"
"993387","uatt",,"ukaqre"
"993388","uatum",,"jecoz"
"993389","uatx",,"okige"
"993390","uaup",,"jaqe"
"993391","uaupe",,"juqav"
"993392","uaupes",,"juqaan"
"993393","uavs",,"jiwo"
"993394","uaxaclajuun",,"ikimazazon"
"993395","uaxact",,"ikimane"
"993396","uaxactun",,"judesee"
"993397","uayeb",,"jegor"
"993398","ubaacces",,"jeloseo"
"993399","ubac",,"jelu"
"993400","ubach",,"elurou"
"993401","ubadone",,"julifot"
"993402","ubago",,"julaf"
"993403","ubah",,"elumri"
"993404","ubaid",,"alinio"
"993405","ubaidallah",,"jalitien"
"993406","ubaidian",,"julotuet"
"993407","ubain",,"ilenae"
"993408","ubainit",,"jilepun"
"993409","ubainitm",,"jelupeun"
"993410","ubal",,"ulotro"
"993411","ubald",,"julat"
"993412","ubalde",,"jiluen"
"993413","ubaldo",,"jeloo"
"993414","uball",,"jiluv"
"993415","uballoc",,"jaleve"
"993416","ubamem",,"jelio"
"993417","ubana",,"ulozuo"
"993418","ubangi",,"ulozie"
"993419","ubangian",,"jilemiu"
"993420","ubangis",,"ulozuate"
