"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"1035729","v",,"iq"
"1035730","vaad",,"colo"
"1035731","vaadim",,"calaun"
"1035732","vaads",,"coloq"
"1035733","vaagmaer",,"coluzeo"
"1035734","vaagmar",,"cilazun"
"1035735","vaagmer",,"celizi"
"1035736","vaal",,"celi"
"1035737","vaala",,"colun"
"1035738","vaalah",,"uketent"
"1035739","vaalbara",,"culerien"
"1035740","vaalhaai",,"akotaroa"
"1035741","vaalian",,"ekitoata"
"1035742","vaalie",,"caloun"
"1035743","vaalite",,"ekitoan"
"1035744","vaaljapie",,"coluseon"
"1035745","vaalpens",,"culehoon"
"1035746","vaalpense",,"cilaheu"
"1035747","vaalpenss",,"culehoan"
"1035748","vaals",,"celiq"
"1035749","vaani",,"calur"
"1035750","vaas",,"ukecdo"
"1035751","vaasa",,"akocu"
"1035752","vaast",,"colew"
"1035753","vaasta",,"ciloon"
"1035754","vaastu",,"celaen"
"1035755","vaav",,"celia"
"1035756","vaavu",,"calob"
"1035757","vaayu",,"akokia"
"1035758","vaayusastra",,"okukawidan"
"1035759","vabalninkas",,"ikemofeji"
"1035760","vabbed",,"cemuot"
"1035761","vabbing",,"cemuran"
"1035762","vabicaserin",,"camusubaon"
"1035763","vabis",,"comeq"
"1035764","vaborbactam",,"ekupesozin"
"1035765","vabriga",,"ekujoata"
"1035766","vabs",,"come"
"1035767","vabson",,"ikecate"
"1035768","vaca",,"ukimru"
"1035769","vacabond",,"conuruot"
"1035770","vacacocha",,"cenisian"
"1035771","vacance",,"cunepot"
"1035772","vacances",,"cunepao"
"1035773","vacancie",,"cunepaen"
"1035774","vacancies",,"cunepaon"
"1035775","vacancy",,"conupu"
"1035776","vacancys",,"conupiot"
"1035777","vacandi",,"ekamoia"
"1035778","vacans",,"canoat"
"1035779","vacant",,"ekametn"
"1035780","vacante",,"akumeea"
"1035781","vacanter",,"cunepeen"
"1035782","vacantest",,"cinapae"
"1035783","vacanthearted",,"akumebofan"
"1035784","vacantheartedness",,"canoposaot"
"1035785","vacanti",,"ekamoan"
"1035786","vacantia",,"okemiben"
"1035787","vacantlier",,"ukimabe"
"1035788","vacantliest",,"ikomubuvet"
"1035789","vacantly",,"canopoin"
"1035790","vacantness",,"cenipie"
"1035791","vacantnesses",,"canopohaon"
"1035792","vacantnesss",,"cenipihein"
"1035793","vacantry",,"conupua"
"1035794","vacas",,"ukimau"
"1035795","vacat",,"conuw"
"1035796","vacatable",,"ceniwai"
"1035797","vacate",,"cenia"
"1035798","vacated",,"okemuuo"
"1035799","vacates",,"ceniwen"
"1035800","vacating",,"okemuson"
"1035801","vacation",,"ikomasin"
"1035802","vacational",,"ceniwoin"
"1035803","vacationed",,"canoweo"
"1035804","vacationer",,"ceniwou"
"1035805","vacationers",,"ceniwojuot"
"1035806","vacationgoer",,"cunewajoa"
"1035807","vacationing",,"canowejiun"
"1035808","vacationist",,"ceniwojuo"
"1035809","vacationists",,"ceniwojuet"
"1035810","vacationland",,"cinawujeon"
"1035811","vacationlander",,"ukimesijet"
