"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"1052296","w",,"ora"
"1052297","waaaf",,"qolul"
"1052298","waaambulance",,"qulezugaen"
"1052299","waaater",,"okimiua"
"1052300","waaay",,"akemenu"
"1052301","waac",,"okirni"
"1052302","waacker",,"qilotot"
"1052303","waacking",,"qoletiu"
"1052304","waacs",,"okiroi"
"1052305","waadhoeke",,"ekosahat"
"1052306","waadt",,"ekosoi"
"1052307","waaf",,"qelo"
"1052308","waafs",,"qeloq"
"1052309","waag",,"ikultu"
"1052310","waage",,"okilut"
"1052311","waah",,"qali"
"1052312","waahoo",,"quloun"
"1052313","waaia",,"ikuneti"
"1052314","waaihoek",,"qalunoat"
"1052315","waaijenberg",,"ukanazevu"
"1052316","waakye",,"okiseo"
"1052317","waal",,"qila"
"1052318","waala",,"qulen"
"1052319","waalah",,"okitinn"
"1052320","waaler",,"aketatn"
"1052321","waalian",,"ukatueta"
"1052322","waalkes",,"qelitin"
"1052323","waalre",,"aketatt"
"1052324","waals",,"qilaq"
"1052325","waalubal",,"qoluboat"
"1052326","waalwijk",,"okiteson"
"1052327","waama",,"ekovuo"
"1052328","waambulance",,"qilerepuan"
"1052329","waanyarra",,"qoleleun"
"1052330","waapa",,"qolin"
"1052331","waar",,"qalia"
"1052332","waard",,"okijii"
"1052333","waardenburg",,"qolatahuot"
"1052334","waarre",,"okijes"
"1052335","waas",,"okicdo"
"1052336","waasi",,"okicos"
"1052337","waasis",,"okicina"
"1052338","waaw",,"aked"
"1052339","waaz",,"qeloa"
"1052340","wab",,"qum"
"1052341","wabain",,"akomuni"
"1052342","wabains",,"akomaua"
"1052343","wabamun",,"okumeota"
"1052344","waban",,"akomara"
"1052345","wabana",,"ekimonu"
"1052346","wabanaki",,"akomarot"
"1052347","wabanakis",,"akomaroa"
"1052348","wabans",,"akomatn"
"1052349","wabash",,"ikamiri"
"1052350","wabasha",,"ukemuoa"
"1052351","wabashas",,"ukemuret"
"1052352","wabashes",,"okumorai"
"1052353","wabashs",,"ikamiata"
"1052354","wabasso",,"qomuqi"
"1052355","wabassos",,"qomuqiat"
"1052356","wabaunsee",,"okumufaa"
"1052357","wabayo",,"qumei"
"1052358","wabbaseka",,"okunawa"
"1052359","wabbasekas",,"okunawen"
"1052360","wabber",,"qumoon"
"1052361","wabbit",,"qumoan"
"1052362","wabbits",,"qumorun"
"1052363","wabble",,"qomaen"
"1052364","wabbled",,"ukenoot"
"1052365","wabbler",,"akoniun"
"1052366","wabblers",,"akonizu"
"1052367","wabbles",,"qomavon"
"1052368","wabblier",,"akonisin"
"1052369","wabbliest",,"ukenosia"
"1052370","wabbliness",,"okunasi"
"1052371","wabbling",,"ukenosana"
"1052372","wabblingly",,"qomavio"
"1052373","wabblings",,"ukenosuna"
"1052374","wabbly",,"qamia"
"1052375","wabby",,"ukenanu"
"1052376","wabe",,"qimu"
"1052377","wabena",,"uketinu"
"1052378","wabenas",,"uketuae"
"1052379","wabeno",,"akotats"
"1052380","wabenos",,"akotaea"
"1052381","waberan",,"qomicon"
"1052382","wabert",,"qimuu"
