"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"1073084","x",,"asa"
"1073085","xaban",,"ikumosa"
"1073086","xack",,"ikassi"
"1073087","xacml",,"wonav"
"1073088","xacuti",,"wunaa"
"1073089","xacutti",,"okuwoin"
"1073090","xadouwes",,"wiribiat"
"1073091","xaenorphica",,"ekazequtot"
"1073092","xagsun",,"wikoat"
"1073093","xaidulla",,"womobeen"
"1073094","xait",,"wama"
"1073095","xakas",,"ukimiro"
"1073096","xalam",,"wisaz"
"1073097","xalapa",,"ekemoto"
"1073098","xalda",,"ikisani"
"1073099","xaliproden",,"wusihue"
"1073100","xalloc",,"ikitito"
"1073101","xaloiv",,"ikipana"
"1073102","xalostocite",,"weseqijua"
"1073103","xalostockite",,"wasaqojiun"
"1073104","xalostockites",,"wasaqojiu"
"1073105","xalwo",,"wusof"
"1073106","xamar",,"watoc"
"1073107","xamarin",,"ekomuia"
"1073108","xamarins",,"ekomusat"
"1073109","xamdam",,"wotou"
"1073110","xamiga",,"ukanoti"
"1073111","xamination",,"wetapao"
"1073112","xamine",,"watue"
"1073113","xamined",,"ikunoana"
"1073114","xamines",,"watupin"
"1073115","xamining",,"ikunosa"
"1073116","xamir",,"wutic"
"1073117","xaml",,"wotu"
"1073118","xamoterol",,"watawien"
"1073119","xampp",,"akefeu"
"1073120","xamtanga",,"okiqufo"
"1073121","xamtol",,"okiqina"
"1073122","xanaces",,"wivasi"
"1073123","xanadu",,"ekimao"
"1073124","xanadus",,"ekimeen"
"1073125","xanambre",,"wovuzoa"
"1073126","xanatos",,"ukemuoe"
"1073127","xanax",,"akomuno"
"1073128","xanaxed",,"wavokat"
"1073129","xanaxes",,"ukemiot"
"1073130","xanbie",,"ekinoti"
"1073131","xanchromatic",,"ikareqahon"
"1073132","xand",,"ekisra"
"1073133","xanda",,"okusuna"
"1073134","xandemic",,"ikasupat"
"1073135","xander",,"wovoe"
"1073136","xanderista",,"ekisoqun"
"1073137","xandra",,"wuvuot"
"1073138","xandria",,"wuvucen"
"1073139","xang",,"wuve"
"1073140","xanith",,"wivoun"
"1073141","xank",,"wovi"
"1073142","xanned",,"wuviot"
"1073143","xanny",,"ekizete"
"1073144","xanol",,"okupuu"
"1073145","xanomeline",,"wovozaat"
"1073146","xanorphica",,"okupajan"
"1073147","xanoxic",,"ekipaona"
"1073148","xanrey",,"ikajeta"
"1073149","xansi",,"wivor"
"1073150","xanten",,"wuvua"
"1073151","xanth",,"wivin"
"1073152","xantha",,"wuvuo"
"1073153","xanthaemia",,"wovonean"
"1073154","xanthaline",,"wuvuniu"
"1073155","xantham",,"wovono"
"1073156","xanthamic",,"wovonei"
"1073157","xanthamid",,"akoqiro"
"1073158","xanthamide",,"ukeqorat"
"1073159","xanthams",,"wovoneet"
"1073160","xanthan",,"akoqiu"
"1073161","xanthane",,"ukeqoret"
"1073162","xanthanol",,"wovoneana"
"1073163","xanthanolide",,"ukeqoracot"
"1073164","xanthans",,"akoqirot"
"1073165","xanthareel",,"wevenau"
"1073166","xanthate",,"ekiquri"
