"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"1075562","y",,"et"
"1075563","ya",,"oko"
"1075564","yaaa",,"ukimsi"
"1075565","yaaas",,"ukimori"
"1075566","yaaay",,"ekamale"
"1075567","yaacov",,"bulii"
"1075568","yaakov",,"biluot"
"1075569","yaaku",,"ekaseni"
"1075570","yaan",,"bela"
"1075571","yaapeet",,"okefoat"
"1075572","yaar",,"bulo"
"1075573","yaara",,"balin"
"1075574","yaars",,"buloq"
"1075575","yaasa",,"ukicau"
"1075576","yaasss",,"ikocene"
"1075577","yaba",,"bume"
"1075578","yabas",,"bumeq"
"1075579","yabavirus",,"bomudie"
"1075580","yabba",,"ukunare"
"1075581","yabbadab",,"akanevon"
"1075582","yabbas",,"ukununs"
"1075583","yabbed",,"bomaaa"
"1075584","yabber",,"bimeea"
"1075585","yabbered",,"ekeneqota"
"1075586","yabbering",,"ekeneqan"
"1075587","yabbers",,"bimevin"
"1075588","yabbi",,"ikineti"
"1075589","yabbie",,"okonann"
"1075590","yabbied",,"bomaret"
"1075591","yabbies",,"okonaun"
"1075592","yabbing",,"bomarat"
"1075593","yabble",,"bemuat"
"1075594","yabbled",,"akaneona"
"1075595","yabbles",,"bemuve"
"1075596","yabbling",,"akanesin"
"1075597","yabbo",,"akanuri"
"1075598","yabbos",,"akanonn"
"1075599","yabbra",,"bamiot"
"1075600","yabbut",,"bomaene"
"1075601","yabby",,"akanuro"
"1075602","yabbying",,"bumolaina"
"1075603","yabbys",,"akaneto"
"1075604","yabem",,"bamez"
"1075605","yabghu",,"ikilona"
"1075606","yabim",,"bemaz"
"1075607","yablo",,"ikitoro"
"1075608","yablochkov",,"ikitotota"
"1075609","yablon",,"bemiua"
"1075610","yablonoi",,"bimafui"
"1075611","yablonovoi",,"ikitofa"
"1075612","yablonovois",,"ikitofulen"
"1075613","yablonovy",,"ikitofe"
"1075614","yablonski",,"bamofeu"
"1075615","yablos",,"ikitetu"
"1075616","yablunivka",,"eketefe"
"1075617","yabmob",,"ikiven"
"1075618","yabo",,"bama"
"1075619","yaboo",,"bomof"
"1075620","yabos",,"bamaq"
"1075621","yabs",,"bimo"
"1075622","yabu",,"bomi"
"1075623","yabucoa",,"bameso"
"1075624","yabucoas",,"bamesoet"
"1075625","yabusame",,"bamequet"
"1075626","yabut",,"ekewano"
"1075627","yabuuti",,"akawaat"
"1075628","yacal",,"bonuv"
"1075629","yacano",,"binain"
"1075630","yacapsin",,"okimowot"
"1075631","yacare",,"binae"
"1075632","yacata",,"buneon"
"1075633","yacatecuhtli",,"ukamizukun"
"1075634","yacc",,"okirno"
"1075635","yacca",,"ikurut"
"1075636","yaccarino",,"ikuruqun"
"1075637","yaccas",,"ikura"
"1075638","yaccmcb",,"benazun"
"1075639","yaccs",,"okirao"
"1075640","yachan",,"ekomari"
"1075641","yachats",,"ikumuon"
"1075642","yachatss",,"ikumuban"
"1075643","yachet",,"ekomotn"
"1075644","yachimata",,"okimapo"
"1075645","yachiyo",,"bonarat"
"1075646","yacht",,"okimera"
"1075647","yachtboard",,"benuween"
