"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1,087,070",,,
"Author: Gino Rouzee.",,,
,,,
"ID","EN",,"MJ"
"1081025","z",,"una"
"1081026","zaabo",,"dilef"
"1081027","zaafi",,"dolir"
"1081028","zaalouk",,"dulefet"
"1081029","zaanaim",,"dolenae"
"1081030","zaanan",,"okazant"
"1081031","zaananni",,"dulinai"
"1081032","zaandam",,"okazaat"
"1081033","zaandams",,"okazaree"
"1081034","zaanstad",,"diloqaat"
"1081035","zaar",,"delu"
"1081036","zaara",,"dolan"
"1081037","zaares",,"dalian"
"1081038","zaars",,"deluq"
"1081039","zaatar",,"okaqit"
"1081040","zaavan",,"ikebaa"
"1081041","zaba",,"demi"
"1081042","zabad",,"ekamutu"
"1081043","zabaean",,"ukimiuna"
"1081044","zabaeans",,"ukimiru"
"1081045","zabaglione",,"dumemie"
"1081046","zabagliones",,"dumemitiin"
"1081047","zabaione",,"akumohate"
"1081048","zabaiones",,"akumohe"
"1081049","zabaism",,"dumeren"
"1081050","zabaisms",,"dumeraon"
"1081051","zabajone",,"dumeseet"
"1081052","zabajones",,"dumesei"
"1081053","zabala",,"ekamura"
"1081054","zabaleen",,"damovie"
"1081055","zaballos",,"damovuot"
"1081056","zabana",,"akumennu"
"1081057","zabaniyah",,"domupiet"
"1081058","zabarjad",,"okemitun"
"1081059","zabarma",,"ekamoota"
"1081060","zabavsky",,"ekamewoa"
"1081061","zabawa",,"damoia"
"1081062","zabaykalsky",,"ikomevafu"
"1081063","zabbai",,"okenine"
"1081064","zabbaleen",,"ekanezo"
"1081065","zabbud",,"dumou"
"1081066","zabcikville",,"ukirevevat"
"1081067","zabdi",,"akusone"
"1081068","zabdicene",,"damareu"
"1081069","zabdiel",,"domorin"
"1081070","zabeeha",,"akutuete"
"1081071","zabek",,"dimuta"
"1081072","zabel",,"ikotitu"
"1081073","zabelle",,"damevun"
"1081074","zaber",,"akutesi"
"1081075","zaberma",,"ukitaee"
"1081076","zabermas",,"ukitapina"
"1081077","zabernism",,"dameceo"
"1081078","zabeta",,"akuto1"
"1081079","zabi",,"damu"
"1081080","zabian",,"ukineto"
"1081081","zabianism",,"okenofo"
"1081082","zabians",,"ukinuina"
"1081083","zabiba",,"okenini"
"1081084","zabicipril",,"ekanise"
"1081085","zabiciprilat",,"demasociet"
"1081086","zabih",,"ekanos"
"1081087","zabiha",,"okenati"
"1081088","zabihah",,"domeno"
"1081089","zabiism",,"dimore"
"1081090","zabillion",,"okenozeta"
"1081091","zabinski",,"okenuwa"
"1081092","zabism",,"dimoan"
"1081093","zabisms",,"dimoqun"
"1081094","zabka",,"damen"
"1081095","zablocki",,"akutite"
"1081096","zablotney",,"ukitobo"
"1081097","zabloudil",,"ikotedun"
"1081098","zabo",,"domo"
"1081099","zaboglione",,"damamui"
"1081100","zabok",,"demet"
"1081101","zabol",,"ekapeno"
"1081102","zabolottia",,"ikopihu"
"1081103","zaborowski",,"okepihet"
"1081104","zabra",,"okejoti"
"1081105","zabras",,"okejine"
"1081106","zabrina",,"dumoren"
"1081107","zabrine",,"domarot"
"1081108","zabriskie",,"ukijewet"
"1081109","zabrus",,"akujeta"
